title,abstract,year,journal
New Viewpoints on the Species of Xinyi and Mulan,"Xinyi'(è¾›å¤·) and 'Mulan'(æœ¨å…°) are Chinese traditional medicine and medicine species. Based the comparison on the antiquity literature, the type of Xinyi tree (Lassonia quinquepeta Buc'hoz) and the current distribution and culture of Xinyi and Mulan, author first infers that Xinyi tree is Yulania biondii (Pamp.) D. L. Fu (Magnolia biondii Pamp.), not Y. liliiflora (Desr.) D. L. Fu. Mulan tree may be Manglietia fordiana Oliv. or Michelia martinii (H. Lev.) Finet Gagnep. ex H. Lev., not Y. liliiflora (Desr.) also. To correct the view of that Xinyi is Mulan and Mulan is Y. liliiflora, as which most botanist and herbalist regarded now, will accelerate the research and development of Magnoliaceae.",2002,Journal of Wuhan Botanical Research
Perbedaan Kekuatan Tarik Antara Wire Ortodonti Cekat Niti Alloy (ditinjau Dari Rnmerek Yang Berbeda),"Wire ortodonti merupakan alat ortodonti yang akan menghasilkan gaya untuk menggerakkan gigi pada perawatan ortodonti. Wire ortodonti NiTi alloy lebih banyak digunakan pada perawatan ortodonti karena sifat superelastisitas dan efek shape memory yang dimilikinya. Penelitian ini dilakukan untuk mengetahui perbedaan nilai kekuatan tarik antara wire ortodonti NiTi alloy ditinjau dari merek yang berbeda. Diameter wire yang digunakan adalah 0,014 inchi dengan panjang wire 150 mm. Penelitian ini terdiri dari 4 kelompok merek wire yang berbeda, dengan jumlah spesimen 24 spesimen (n=6). Pengujian tensile strength dari masing masing wire menggunakan alat Universal Testing Machines (UTM) dengan kecepatan crosshead 20mm/menit. Hasil uji yang diperoleh dengan nilai tensile strength tertinggi ditunjukkan oleh wire merek ClassOne 1403,65 MPa, NiTi Superelastics dengan nilai 1400,58 MPa, wire merek Masel dengan nilai 1392,25 MPa, dan nilai terendah ditunjukkan oleh wire merek All Star 1175,13 MPa. Data yang diperoleh kemudian dianalisis secara statistik menggunakan One Way ANOVA. Hasil analisa statistik menunjukkan nilai p>0,05, yang berarti terdapat perbedaan yang tidak signifikan antara keempat kelompok wire dengan merk yang berbeda. Kesimpulannya tidak terdapat perbedaan nilai tensile strength antara keempat kelompok wire ortodonti NiTi alloy ditinjau dari merek yang berbeda.",2014,
Interior Eigenvalues from Density Matrix Expansions in Quantum Mechanical Molecular Dynamics,"An accelerated polynomial expansion scheme to construct the density matrix in quantum mechanical molecular dynamics simulations is proposed. The scheme is based on recursive density matrix expansions, e.g., [A. M. N. Niklasson, Phys. Rev. B, 66 (2002), 155115], which are accelerated by a scale-and-fold technique [E. H. Rubensson, J. Chem. Theory Comput., 7 (2011), pp. 1233--1236]. The acceleration scheme requires interior eigenvalue estimates, which may be expensive and cumbersome to come by. Here we show how such eigenvalue estimates can be extracted from the recursive expansion by a simple and robust procedure at a negligible computational cost. Our method is illustrated with density functional tight-binding Born--Oppenheimer molecular dynamics simulations, where the computational effort is dominated by the density matrix construction. In our analysis we identify two different phases of the recursive polynomial expansion, the conditioning and purification phases, and we show that the acceleration repres...",2014,SIAM J. Scientific Computing
An efficient algorithm for estimating brain covariance networks,"Often derived from partial correlations or many pairwise analyses, covariance networks represent the inter-relationships among regions and can reveal important topological structures in brain measures from healthy and pathological subjects. However both approaches are not consistent network estimators and are sensitive to the value of the tuning parameters. Here, we propose a consistent covariance network estimator by maximising the network likelihood (MNL) which is robust to the tuning parameter. We validate the consistency of our algorithm theoretically and via a simulation study, and contrast these results against two well-known approaches: the graphical LASSO (gLASSO) and Pearson pairwise correlations (PPC) over a range of tuning parameters. The MNL algorithm had a specificity equal to and greater than 0.94 for all sample sizes in the simulation study, and the sensitivity was shown to increase as the sample size increased. The gLASSO and PPC demonstrated a specificity-sensitivity trade-off over a range of values of tuning parameters highlighting the discrepancy in the results for misspecified values. Application of the MNL algorithm to the case study data showed a loss of connections between healthy and impaired groups, and improved ability to identify between lobe connectivity in contrast to gLASSO networks. In this work, we propose the MNL algorithm as an effective approach to find covariance brain networks, which can inform the organisational features in brain-wide analyses, particularly for large sample sizes.",2018,PLoS ONE
Cooking Tips and Instructions at Heinen's Fine Foods in Cleveland | Verlasso,Heinenâ€™s is hosting Verlasso salmon tasting events to show just how easy it is to cook and enjoy this omega-3 rich protein.,2013,
Anatomic left atrial circumferential ablation to electrically isolate pulmonary veins using a novel focused ultrasound balloon catheter.,"Ablative therapy to electrically isolate pulmonary veins (PVs) has been shown to be effective in treating patients who suffer from drug-refractory atrial fibrillation (AF). However, even with ablation confined to the PV ostium, such procedures are associated with significant risk for PV stenosis. This, together with recognition of the significance of atrial foci in the immediate vicinity of PV ostia, has fueled enthusiasm for ablating proximally to the ostia at the venous antra. This is the first reported case of using a novel highintensity focused ultrasound balloon catheter (ProRhythm Inc., Setauket, NY, USA) to electrically isolate all four PVs at their antra in a patient with AF. This catheter is specifically designed to create circumferential lesions at the antrum of each vein to electrically isolate tissue distal to it. Unfocused ultrasound waves emitted from the catheter travel freely in the blood pool, converging approximately 2 mm distal to the balloon surface and creating a 4 mm deep lesion due to hyperthermic circumferential tissue injury at the area of ultrasound beam convergence. 1 Figure 1A shows the placement of the balloon catheter at the antrum of the left superior PV. Contrast was injected through the central lumen of the inflated balloon catheter into the PV to ensure optimal catheter orientation related the venous anatomy. The location of circumferential focused ultrasound energy delivery is depicted by the white arrows. The surface of the balloon is indicated by the black arrowhead. In this case, we used a single focused ultrasound balloon catheter that can create 20-mm diameter circumferential lesions to isolate all four PVs. After delivery of ultrasound energy for 5.2 minutes, electrical isolation of all four veins (ostial diameters 11, 13, 11, and 16 mm) was demonstrated by a Lasso catheter Biosense Webster Inc., Diamond Bar, CA without any complications. During energy delivery to the antrum of the left superior PV, transient atrial asystole and complete AV block (Figure 1B) were observed. We hypothesized that this phenomenon was related to ablation of a plexus of parasympathetic ganglia. Similar observations during circumferential PV ablation using radiofrequency energy have been described and related to improved clinical success. 2",2006,Heart rhythm
Nachweis und diagnostische Wertigkeit von AntikÃ¶rpern gegen das interzellulÃ¤re Polysaccharid-AdhÃ¤sin bei Patienten mit Endoprotheseninfektionen durch Staphylococcus aureus und Staphylococcus epidermidis,"Fremdmaterialassoziierte S. epidermidis und S. aureus Infektionen stellen sowohl hinsichtlich der Diagnostik wie auch Therapie und Pravention weiterhin ein 
herausragendes Problem der modernen Medizin dar. Zentraler Aspekt der Pathogenese von S. epidermidis und S. aureus fremdmaterialassoziierten Infektionen ist die Fahigkeit des Erregers, auf der Oberflache implantierter Fremdkorper mehrlagige Biofilme auszubilden. In den letzten Jahrzehnten wurden grose Anstrengungen unternommen, die Entstehung von Biofilmen besser zu verstehen, um daraus neue diagnostische sowie therapeutische Moglichkeiten abzuleiten. Insbesondere im Rahmen der Diagnostik von Endoprotheseninfektionen existieren zurzeit nur unbefriedigende Ansatze, welche in keinem Fall eine sichere Diagnose oder einen Ausschluss einer Protheseninfektion ermoglichen. In dieser Arbeit sollte die Nutzbarkeit des interzellularen Polysaccharid-Adhasins (PIA) als diagnostisches Antigen untersucht 
werden. PIA wird eine wichtige Rolle in der Entstehung Biofilm-assoziierter S. epidermidis und S. aureus Infektionen beigemessen. Unter Verwendung eines hier 
etablierten, spezifischen ELISA wurden PIA-spezifische Antikorper in Seren von 59 Patienten mit definitiven S. aureus und S. epidermidis Huft- und Knie- 
Endoprotheseninfektionen wie auch in einem Kollektiv gesunder Blutspender quantifiziert. Es konnte gezeigt werden, dass ein signifikanter Unterschied in der 
Titerhohe zwischen den Seren von infizierten Patienten und Blutspendern (p<0,001, TTest)besteht. Dies weist darauf hin, dass PIA in vivo gebildet wird. Eine fehlende 
bimodale Verteilung der Titerhohen macht allerdings eine konkrete Unterscheidung der Gruppen unmoglich. Hieraus kann die Schlussfolgerung gezogen werden, dass der 
Nachweis von Anti-PIA-Antikorpern zur Diagnose einer Endoprotheseninfektion durch S. epidermidis oder S. aureus ungeeignet ist. Zukunftig mussen PIA-unabhangige, 
funktionell an der Biofilmbildung beteiligte Faktoren hinsichtlich ihrer Potenz als diagnostisches Antigen evaluiert werden.",2009,
Factores predictores de respuesta a los tratamientos de inmunotolerancia en pacientes hemofÃ­licos A con inhibidores,"En el momento actual se considera que la aparicion de inhibidores tras la administracion de concentrados del factor deficitario es la complicacion mas seria y que condiciona en mayor medida el tratamiento y la calidad de vida de los hemofilicos. Este problema es mucho mas frecuente en hemofilia A grave (21-33%). El objetivo terapeutico a largo plazo es la erradicacion del inhibidor mediante los tratamientos de induccion de tolerancia inmunologica (ITI). En este trabajo se presentan los resultados de los ITI llevados a cabo en una unidad de referencia en coagulopatias. Se trata de un estudio retrospectivo y prospectivo de los tratamientos efectuados entre 1980 y 2015. En este periodo se trataron 26 pacientes, 3 de los cuales todavia estan en tratamiento. El analisis estadistico se ha efectuado con los 23 pacientes que terminaron la primera linea de ITI. Se ha realizado el analisis descriptivo y un modelo de regresion logistica con penalizacion L1 (LASSO). La mediana de edad en el momento de iniciar el ITI es de 2 anos (Q1,Q3: 1, 3). El valor de la mediana para los diferentes titulos de inhibidor es: historico maximo, 22 UB/mL (Q1,Q3: 10, 100); pre ITI 4,6 UB/mL (Q1,Q3: 2, 8,75); durante el ITI 23,7 UB (Q1,Q3: 2,83, 210). La mediana de tiempo de tratamiento en los pacientes que responden es de 11,7 meses (Q1,Q3: 9,77, 27,66). En cuanto al tipo de factor: 14/23 pacientes utilizaron concentrados de FVIII de origen plasmatico (pdFVIII), 13 de ellos el factor plasmatico era rico en Factor von Willebrand (FVW); 9 pacientes se trataron con concentrado de origen recombinante. En cuanto a la dosis: en 17/23 pacientes se utilizo una dosis 100 UI/kg/dia. Se considero exito cuando el inhibidor fue negativo y ademas, la recuperacion y la vida media del FVIII infundido fue normal. La tasa de exito con las primeras lineas de ITI es del 57%. Hay dos variables que influyen en el exito: a) un menor titulo maximo de inhibidor durante el ITI y b) la utilizacion de pdFVIII para efectuar el ITI. En el analisis estadistico la utilizacion de pdFVIII con FVW aporta una parte pequena, pero no podemos discriminar el poder de esta variable, por las caracteristicas de nuestra serie. No tienen significacion estadistica influyendo en el exito: el tipo de mutacion, el titulo maximo historico de inhibidor, el titulo de inhibidor pre ITI, la edad al ITI, la demora en empezar el ITI, la dosis de FVIII empleada, la utilizacion de accesos venosos centrales ni la infeccion de estos. La tasa de respuesta es del 85,7% cuando se consideran los tratamientos de rescate junto con los de primera linea, incluyendo los dos pacientes con cambios de inmunorrespuesta. La tasa de recidiva despues de un periodo de seguimiento de 9,12 anos (Q1,Q3: 3,98, 13,40) es del 11%. En hemofilicos con inhibidores en edad pediatrica, es importante insistir en la erradicacion del inhibidor, dada la larga expectativa de vida en este grupo poblacional.",2015,
Lasso based feature selection for malaria risk exposure prediction,"In life sciences, the experts generally use empirical knowledge to recode variables, choose interactions and perform selection by classical approach. The aim of this work is to perform automatic learning algorithm for variables selection which can lead to know if experts can be help in they decision or simply replaced by the machine and improve they knowledge and results. The Lasso method can detect the optimal subset of variables for estimation and prediction under some conditions. In this paper, we propose a novel approach which uses automatically all variables available and all interactions. By a double cross-validation combine with Lasso, we select a best subset of variables and with GLM through a simple cross-validation perform predictions. The algorithm assures the stability and the the consistency of estimators.",2015,arXiv: Machine Learning
Gene regulatory network inference using fused LASSO on multiple data sets,"Devising computational methods to accurately reconstruct gene regulatory networks given gene expression data is key to systems biology applications. Here we propose a method for reconstructing gene regulatory networks by simultaneous consideration of data sets from different perturbation experiments and corresponding controls. The method imposes three biologically meaningful constraints: (1) expression levels of each gene should be explained by the expression levels of a small number of transcription factor coding genes, (2) networks inferred from different data sets should be similar with respect to the type and number of regulatory interactions, and (3) relationships between genes which exhibit similar differential behavior over the considered perturbations should be favored. We demonstrate that these constraints can be transformed in a fused LASSO formulation for the proposed method. The comparative analysis on transcriptomics time-series data from prokaryotic species, Escherichia coli and Mycobacterium tuberculosis, as well as a eukaryotic species, mouse, demonstrated that the proposed method has the advantages of the most recent approaches for regulatory network inference, while obtaining better performance and assigning higher scores to the true regulatory links. The study indicates that the combination of sparse regression techniques with other biologically meaningful constraints is a promising framework for gene regulatory network reconstructions.",2016,Scientific Reports
