title,abstract,year,journal
Detection of DNA Copy Number Variations Using Penalized Least Absolute Deviations Regression,"Deletions and amplifications of the human genomic DNA copy number are the cause of numerous diseases such as various forms of cancer. Therefore, the detection of DNA copy number variations (CNV) is important in understanding the genetic basis of disease. Various techniques and platforms have been developed for genome-wide analysis of DNA copy number, such as array-based comparative genomic hybridization (aCGH) and high-resolution mapping using high-density tiling oligonucleotide arrays. Since complicated biological and experimental processes are involved in these platforms, data can be contaminated by outliers. Inspired by the robustness property of the LAD regression, we propose a penalized LAD regression with the fused lasso penalty for detecting CNV. This method incorporates the spatial dependence and sparsity of CNV into the analysis and is computationally feasible for high-dimensional array-based data. We evaluate the proposed method using simulation studies, which indicate that it can correctly detect the numbers and locations of the true breakpoints while controlling the false positives appropriately. We demonstrate the proposed method on two real data examples.",2007,
"Synthesis, Characterization, and Applications of Polymer-grafted Lignin Surfactants","Surfactants are among the broadest class of compounds utilized in industrial applications. However, many industrially used surfactants have detrimental environmental effects and are primarily derived from petroleum-based feedstocks. Agreen surfactant based on lignin, a biopolymer found in plant cell walls, could potentially serve as a renewably sourced surfactant for dispersant and emulsion applications. As amajor waste by-product of paper production generating a use for lignin surfactants could lead to a commercially viable renewable feedstock and create another avenue for utilizingthis waste material. Lignin derivatives, primarily lignosulfonates, have seen extensive application as dispersants in cement formulations but have been slowly replaced in recent decades by more active petroleum-based synthetic polymers. In this work we sought to develop lignin surfactants by augmenting ligninâ€™s natural surfactant activity through the grafting hydrophilic of polymers onto a lignin core. Primarily focusing on utilizing kraft lignin and lignosulfonate cores, this thesis looks at the interplay between lignin core and polymer graft length to determine design principles for cementitious and agriculturalformulations. Chapter 2 in this thesis outlines a synthetic strategy for grafting lignin cores with hydrophilic polymers under basic, aqueous conditions and examining their ability to function as emulsifiers. This strategy was developed with poly (ethylene glycol) methyl ether (mPEG) grafts utilizing a classic SN2 grafting strategy. These polymer graftedlignins (PLGN) were then examined for their activity at air-water and oil-water interfaces and exhibited significantly greater activity than the unmodified lignin cores. It was found that higher levels of interfacial activity were exhibited by PEGylated lignins containing hydrophobic kraft lignin cores and shorter PEG graft lengths. Building upon the nowknown activity of these polymer grafted lignins we sought to utilize them as dispersants in cement and as emulsifiers in agricultural formulations. In Chapter 3 we showed that polymer grafting lignins via the strategies discussedin Chapter 2 improves the dispersing capability of the lignins in cement formulation systems. The grafting strategy was shown to work well with varying PEG graft lengths aswell as with hydrophilic acrylic polymers, poly (methacrylic acid) (PMAA) and poly (sulfopropyl methacrylate) (PSPMA). Slump, a measure of cement dispersing capability, was increased by lignins grafted with PEG, PMAA, or SPMA polymer grafts with PMAA grafts having the largest effects. The polymer grafted lignins with the charged, hydrophilic lignosulfonate cores also exhibited better dispersing abilities likely due to the electrostatic interactions the of the lignosulfonate core with the highly charged cementmixture. While the polymer grafted lignins do not perform as well as commercially standard poly (carboxylate ether)s (PCE), the significant increase in dispersing abilitygained by grafting charged polymers to the lignin core indicates potential for lignins to be viable in future cement applications. Chapter 4 covers the steps utilized for market research on the viability of the PEGylated lignin surfactants synthesized in Chapter 2. This study was utilized todetermine the value propositions of the PGLNs and future directions for the project. It was found that the value proposition of being a multi-functional. green dispersant was of interest in agricultural applications leading to these applications being explored further in Chapters 5 and 6. Chapter 5 of this thesis takes a closer look at tank-mix agricultural applications, in which polymer grafted lignins with high oil-water interfacial activity were desired. Thehighly active PEGylated lignins synthesized in Chapter 1 were then formulated with the herbicide formulation, clethodim 2EC, and sprayed on v2 stage corn plants to examine whether they increased the effectiveness of the herbicide. Results imply that an increase in clethodim 2EC effectiveness was found in formulations containing the PEGylated kraft lignin with the short PEG chain. The increase in effectiveness was comparable to commercially available industrial standards, Superb HC and Prime Oil, thus indicating a potential application for these polymer grafted lignins. Chapter 6 builds upon the agricultural applications in Chapter 5 to further explore agricultural formulations using least absolute shrinkage and selection operator (LASSO) regression analysis techniques to quantitatively identify the physiochemical propertiesimportant to formulation biological activity with the aim of designing an optimal formulation containing polymer-grafted lignins. Emulsion concentrate (EC) agriculturalformulations dependent on oil-water interactions were examined using the oily herbicide clethodim while water dispersible granule (WDG) formulations will be examined using the solid herbicide cloransulam-methyl. Examining both EC and WDG formulations aided in creating a stronger understanding of polymer grafted ligninsâ€™ emulsifying anddispersing capabilities.",2019,
Predicting the Development of Normal-Appearing White Matter With Radiomics in the Aging Brain: A Longitudinal Clinical Study,"Background: Normal-appearing white matter (NAWM) refers to the normal, yet diseased tissue around the white matter hyperintensities (WMH) on conventional MR images. Radiomics is an emerging quantitative imaging technique that provides more details than a traditional visual analysis. This study aims to explore whether WMH could be predicted during the early stages of NAWM, using a textural analysis in the general elderly population. Methods: Imaging data were obtained from PACS between 2012 and 2017. The subjects (â‰¥60 years) received two or more MRI exams on the same scanner with time intervals of more than 1 year. By comparing the baseline and follow-up images, patients with noted progression of WMH were included as the case group (n = 51), while age-matched subjects without WMH were included as the control group (n = 51). Segmentations of the regions of interest (ROIs) were done with the ITK software. Two ROIs of developing NAWM (dNAWM) and non-developing NAWM (non-dNAWM) were drawn separately on the FLAIR images of each patient. dNAWM appeared normal on the baseline images, yet evolved into WMH on the follow-up images. Non-dNAWM appeared normal on both the baseline and follow-up images. A third ROI of normal white matter (NWM) was extracted from the control group, which was normal on both baseline and follow-up images. Textural features were dimensionally reduced with ANOVA+MW, correlation analysis, and LASSO. Three models were built based on the optimal parameters of dimensional reduction, including Model 1 (NWM vs. dNAWM), Model 2 (non-dNAWM vs. dNAWM), and Model 3 (NWM vs. non-dNAWM). The ROC curve was adopted to evaluate the classification validity of these models. Results: Basic characteristics of the patients and controls showed no significant differences. The AUC of Model 1 in training and test groups were 0.967 (95% CI: 0.831-0.999) and 0.954 (95% CI: 0.876-0.989), respectively. The AUC of Model 2 were 0.939 (95% CI: 0.856-0.982) and 0.846 (95% CI: 0.671-0.950). The AUC of Model 3 were 0.713 (95% CI: 0.593-0.814) and 0.667 (95% CI: 0.475-0.825). Conclusion: Radiomics textural analysis can distinguish dNAWM from non-dNAWM on FLAIR images, which could be used for the early detection of NAWM lesions before they develop into visible WHM.",2018,Frontiers in Aging Neuroscience
An empirical investigation of sparse log-linear models for improved dialogue act classification,"Previous work on dialogue act classification have primarily focused on dense generative and discriminative models. However, since the automatic speech recognition (ASR) outputs are often noisy, dense models might generate biased estimates and overfit to the training data. In this paper, we study sparse modeling approaches to improve dialogue act classification, since the sparse models maintain a compact feature space, which is robust to noise. To test this, we investigate various element-wise frequentist shrinkage models such as lasso, ridge, and elastic net, as well as structured sparsity models and a hierarchical sparsity model that embed the dependency structure and interaction among local features. In our experiments on a real-world dataset, when augmenting N-best word and phone level ASR hypotheses with confusion network features, our best sparse log-linear model obtains a relative improvement of 19.7% over a rule-based baseline, a 3.7% significant improvement over a traditional non-sparse log-linear model, and outperforms a state-of-the-art SVM model by 2.2%.",2013,"2013 IEEE International Conference on Acoustics, Speech and Signal Processing"
Effect of Pre-deforming on Low Temperature Plasma Nitriding of Austenitic Stainless Steel,"In spite of the excellent corrosion resistance of theaustenitic stainless steels, they are a relatively soft classof materials that are expected to face obstacles when usedfor applications that require resistance to both corrosionand wear. A method for hardening the surface of austeniticstainless steel has been examined as a countermeasure tothiswearproblem.Traditionalmethodssuchascarburizingand nitriding treatments have been applied to modify thesurfaces of stainless steels and other ferrous materials. Thelow processing temperature and low heat treatmentdistortion of the nitriding process have attracted consider-able interest from a technological point of view, and a greatdeal of research has been performed to obtain high surfacehardness by nitriding treatments.Plasma nitriding has been widely used in industrialproduction to increase the surface hardness and the wearresistance of materials. Generally, the treatment tempera-turefortraditionalplasmanitridingis773â€“843 Kinordertoobtain a sufï¬ciently thick nitrided layer. However, CrNprecipitation occurs for most stainless steels when thenitridingtemperatureisincreasedabove723 K,sothattheircorrosion resistance is largely decreased. To avoid theprecipitation of CrN, plasma nitriding can be conducted ata low temperature, normally below 723 K, and then aso-called S phase with high hardness and better corrosionresistance is obtained on the surface of the austeniticstainless steel.",2009,Plasma Processes and Polymers
BAYESIAN DEFORMABLE MODELS BUILDING 3 a penalized likelihood ( PL ) or the more recent maximum description length approach in,"The problem of the definition and the estimation of generative models based on deformable templates from raw data is of particular importance for modeling nonaligned data affected by various types of geometrical variability. This is especially true in shape modeling in the computer vision community or in probabilistic atlas building in Computational Anatomy. A first coherent statistical framework modeling the geometrical variability as hidden variables was described in AllassonniÃ¨re, Amit, and TrouvÃ© (2007). The present paper gives a theoretical proof of convergence of effective stochastic approximation expectation strategies to estimate such models and shows the robustness of this approach against noise through numerical experiments in the context of handwritten digit modeling.",2009,
Confidence region and intervals for sparse penalized regression using variational inequality techniques,"LIANG YIN: CONFIDENCE REGION AND INTERVALS FOR SPARSE PENALIZED REGRESSION USING VARIATIONAL INEQUALITY TECHNIQUES. (Under the direction of Shu Lu and Yufeng Liu.) With the abundance of large data, sparse penalized regression techniques are commonly used in data analysis due to the advantage of simultaneous variable selection and prediction. By introducing biases on the estimators, sparse penalized regression methods can often select a simpler model than unpenalized regression. A number of convex as well as non-convex penalties have been proposed in the literature to achieve sparsity. Despite intense work in this area, it remains unclear on how to perform valid inference for sparse penalized regression with a general penalty. In this work, by making use of state-of-the-art optimization tools in variational inequality theory, we propose a unified framework to construct confidence intervals for sparse penalized regression with a wide range of penalties, including the well-known least absolute shrinkage and selection operator (LASSO) penalty and the minimax concave penalty (MCP). We study the inference for two types of parameters: the parameters under the population version of the penalized regression and the parameters in the underlying linear model. Theoretical convergence properties of the proposed methods are obtained. Simulated and real data examples are presented to demonstrate the validity and effectiveness of the proposed inference procedure.",2015,
Prediction of Cancer Cell Sensitivity to Drugs,"We consider the problem of using high-dimensional genomic covariates to predict the drug response of cancer cell lines. The cell lines are grouped according to tissue type, which we show may be an important factor in determining the dependence of drug response on genomic covariates. We develop predictors using l1-penalized linear regression models, and develop a novel variant which we call the indicator lasso which exploits inherent group structure. The superior performance of this new method in simulations over other methods which neglect group structure is illustrated. We finish by presenting the drug response prediction results.",2013,
Faster Coordinate Descent via Adaptive Importance Sampling,"Coordinate descent methods employ random partial updates of decision variables in order to solve huge-scale convex optimization problems. In this work, we introduce new adaptive rules for the random selection of their updates. By adaptive, we mean that our selection rules are based on the dual residual or the primal-dual gap estimates and can change at each iteration. We theoretically characterize the performance of our selection rules and demonstrate improvements over the state-of-the-art, and extend our theory and algorithms to general convex objectives. Numerical evidence with hinge-loss support vector machines and Lasso confirm that the practice follows the theory.",2017,ArXiv
Roles of singleton tryptophan motifs in COPI coat stability and vesicle tethering.,"Coat protein I (COPI)-coated vesicles mediate retrograde transport from the Golgi to the endoplasmic reticulum (ER), as well as transport within the Golgi. Major progress has been made in defining the structure of COPI coats, in vitro and in vivo, at resolutions as high as 9 Ã…. Nevertheless, important questions remain unanswered, including what specific interactions stabilize COPI coats, how COPI vesicles recognize their target membranes, and how coat disassembly is coordinated with vesicle fusion and cargo delivery. Here, we use X-ray crystallography to identify a conserved site on the COPI subunit Î±-COP that binds to flexible, acidic sequences containing a single tryptophan residue. One such sequence, found within Î±-COP itself, mediates Î±-COP homo-oligomerization. Another such sequence is contained within the lasso of the ER-resident Dsl1 complex, where it helps mediate the tethering of Golgi-derived COPI vesicles at the ER membrane. Together, our findings suggest that Î±-COP homo-oligomerization plays a key role in COPI coat stability, with potential implications for the coordination of vesicle tethering, uncoating, and fusion.",2019,Proceedings of the National Academy of Sciences of the United States of America
