title,abstract,year,journal
Sparsity oracle inequalities for the Lasso,"This paper studies oracle properties of l1-penalized least squares in nonparametric regression setting with random design. We show that the penalized least squares estimator satisfies sparsity oracle inequalities, i.e., bounds in terms of the number of non-zero components of the oracle vec- tor. The results are valid even when the dimension of the model is (much) larger than the sample size and the regression matrix is not positive definite. They can be applied to high-dimensional linear regression, to nonparamet- ric adaptive regression estimation and to the problem of aggregation of arbitrary estimators. AMS 2000 subject classifications: Primary 62G08; secondary 62C20, 62G05, 62G20. Keywords and phrases: sparsity, oracle inequalities, Lasso, penalized least squares, nonparametric regression, dimension reduction, aggregation, mutual coherence, adaptive estimation.",2007,Electronic Journal of Statistics
Predictive Correlation Screening: Application to Two-stage Predictor Design in High Dimension,"We introduce a new approach to variable selection, called Predictive Correlation Screening, for predictor design. Predictive Correlation Screening (PCS) implements false positive control on the selected variables, is well suited to small sample sizes, and is scalable to high dimensions. We establish asymptotic bounds for Familywise Error Rate (FWER), and resultant mean square error of a linear predictor on the selected variables. We apply Predictive Correlation Screening to the following two-stage predictor design problem. An experimenter wants to learn a multivariate predictor of gene expressions based on successive biological samples assayed on mRNA arrays. She assays the whole genome on a few samples and from these assays she selects a small number of variables using Predictive Correlation Screening. To reduce assay cost, she subsequently assays only the selected variables on the remaining samples, to learn the predictor coefficients. We show superiority of Predictive Correlation Screening relative to LASSO and correlation learning (sometimes popularly referred to in the literature as marginal regression or simple thresholding) in terms of performance and computational complexity.",2013,
The effect of some additives on histological changes of broiler chicks,"This study was conducted to investigate the effects of feed additives on weight and histological changes in the small intestine. A total of (350) broiler chicks one â€“day old (Ross 380) â€“ unsexed were randomly divided into (7) equal dietary treatment groups, as follows: Treatment (T1): Basal diet without any addition (control group) ,Treatment (T2): Basal diet + Garlic 4cc/10L,Treatment(T3):Basal diet + Saccharomyces cervisiae 2.5gm/10L,Treatment (T4): Basal diet + Stpire 2.5cc/10 L, Treatment (T5): Basal diet +B. glucan 8gm/10 kg, Treatment (T6): Basal diet + Levamisole 1gm/kg, Treatment (T6): Basal diet + Levamisole 1gm/kg, Treatment (T7): Basal diet + Neomycin 0.5 gm/L. These additions were presented on the first day of the arrival for 5 days, and on the day of first vaccination for 5 days and at the end of the experiment for 5 days also. These chicks vaccinated with NDV on the day one of age by injection in the neck and re-vaccinated at day 10 of age with Lassota, Body weight was weekly determined the results as following: Chicks feed a diet with (T7) showed improvement in villus height and in the (T3, T4).",2018,
Scene Labeling Using Sparse Precision Matrix,"Scene labeling task is to segment the image into meaningful regions and categorize them into classes of objects which comprised the image. Commonly used methods typically find the local features for each segment and label them using classifiers. Afterwards, labeling is smoothed in order to make sure that neighboring regions receive similar labels. However, these methods ignore expressive connections between labels and non-local dependencies among regions. In this paper, we propose to use a sparse estimation of precision matrix (also called concentration matrix), which is the inverse of covariance matrix of data obtained by graphical lasso to find interaction between labels and regions. To do this, we formulate the problem as an energy minimization over a graph, whose structure is captured by applying sparse constraint on the elements of the precision matrix. This graph encodes (or represents) only significant interactions and avoids a fully connected graph, which is typically used to reflect the long distance associations. We use local and global information to achieve better labeling. We assess our approach on three datasets and obtained promising results.",2016,2016 IEEE Conference on Computer Vision and Pattern Recognition (CVPR)
Regularized estimation in the accelerated failure time model with high-dimensional covariates.,"We consider two regularization approaches, the LASSO and the threshold-gradient-directed regularization, for estimation and variable selection in the accelerated failure time model with multiple covariates based on Stute's weighted least squares method. The Stute estimator uses Kaplan-Meier weights to account for censoring in the least squares criterion. The weighted least squares objective function makes the adaptation of this approach to multiple covariate settings computationally feasible. We use V-fold cross-validation and a modified Akaike's Information Criterion for tuning parameter selection, and a bootstrap approach for variance estimation. The proposed method is evaluated using simulations and demonstrated on a real data example.",2006,Biometrics
Strategies to Motivate Behavior Change: How Can We Mobilize Adults to Promote Positive Youth Development?,"There is little doubt that the healthy development of young people is an essential feature of a healthy, well-functioning society and that the adult members of society play a critical role in this process (Lerner, Dowling, & Anderson, 2003; Rhodes, Bogat, Roffman, Edelman,&Galasso, 2002). National surveys have consistently shown that adults recognize the importance of devoting both time and effort to activities that contribute to youth development. For example, an overwhelming majority of adults believe it is very important that they encourage children and youth to succeed in school (90%), teach them shared values (80%), and set boundaries for their behavior (84%) (Scales, 2003). However, there is a stark disconnect between peopleâ€™s beliefs about what is important and their own actions. Scales (2003) found that only 69% of adults encouraged success in school, only 45% taught shared values, and only 42% set boundaries for behavior. Given the premise that adult involvement in young peopleâ€™s lives is a critical determinant of healthy development, the observed gap betweenpeopleâ€™s beliefs and their behavior is a clear sign that strategies that can enhance adult involvement in activities that promote the development of young people are needed. In this chapter, we examine the challenge of designing initiatives that can effectivelymobilize adults to act on their beliefs andmake an active contribution to the healthy development of young people. This chapter is divided into two sections. First, given the observed dissociation between peopleâ€™s beliefs and their behavior, we consider what aspects of involvement should be targeted in",2006,
Total Synthesis of Covalent Cysteine Protease Inhibitor N-Desmethyl Thalassospiramide C and Crystallographic Evidence for Its Mode of Action.,"A total synthesis of N-desmethyl thalassospiramide C, a unique strained macrocyclic proteobacterial depsipeptide, enabled a detailed crystallographic study of its covalent complex with cathepsin K, a member of a medicinally important family of cysteine proteases. The study provides support for the mechanism of action, and the insight gained can be used for structure-based drug design targeting these calpain proteases.",2019,Organic letters
Shrinkage Estimation in Partially Linear Models with Measurement Error,"In practice, measurement error in the covariates is often encountered. Measurement error has several effects when using ordinary least squares for the regression problems. In this thesis, we introduce the basic idea of correcting the bias caused by different types of measurement error. We then focus on the variable selection for partially linear models when some of the covariates are measured with additive errors. The bias caused by the measurement error is corrected by subtracting a bias correction term in the squared loss function. Adaptive LASSO is used for the variable selection procedure. The rate of convergence and the asymptotic normality of the estimators resulted by the proposed procedure are established. We also proved that, with the correct choice of the rate of the regularization parameter, the proposed procedure asymptotically performs as well as when the true model is known in advance. This is the so-called oracle properties.",2010,
A novel Markov Blanket-based repeated-fishing strategy for capturing phenotype-related biomarkers in big omics data,"BackgroundWe propose a novel Markov Blanket-based repeated-fishing strategy (MBRFS) in attempt to increase the power of existing Markov Blanket method (DASSO-MB) and maintain its advantages in omic data analysis.ResultsBoth simulation and real data analysis were conducted to assess its performances by comparing with other methods including Ï‡2 test with Bonferroni and B-H adjustment, least absolute shrinkage and selection operator (LASSO) and DASSO-MB. A serious of simulation studies showed that the true discovery rate (TDR) of proposed MBRFS was always close to zero under null hypothesis (odds ratioâ€‰=â€‰1 for each SNPs) with excellent stability in all three scenarios of independent phenotype-related SNPs without linkage disequilibrium (LD) around them, correlated phenotype-related SNPs without LD around them, and phenotype-related SNPs with strong LD around them. As expected, under different odds ratio and minor allel frequency (MAFs), MBRFS always had the best performances in capturing the true phenotype-related biomarkers with higher matthews correlation coefficience (MCC) for all three scenarios above. More importantly, since proposed MBRFS using the repeated fishing strategy, it still captures more phenotype-related SNPs with minor effects when non-significant phenotype-related SNPs emerged under Ï‡2 test after Bonferroni multiple correction. The various real omics data analysis, including GWAS data, DNA methylation data, gene expression data and metabolites data, indicated that the proposed MBRFS always detected relatively reasonable biomarkers.ConclusionsOur proposed MBRFS can exactly capture the true phenotype-related biomarkers with the reduction of false negative rate when the phenotype-related biomarkers are independent or correlated, as well as the circumstance that phenotype-related biomarkers are associated with non-phenotype-related ones.",2016,BMC Genetics
Inducibility of atrial tachyarrhythmias after circumferential pulmonary vein isolation in patients with paroxysmal atrial fibrillation: clinical predictor and outcome during follow-up,"AIMS
We investigated the presence and clinical outcome of inducibility of atrial tachyarrhythmias after circumferential pulmonary vein isolation (CPVI) in patients with paroxysmal atrial fibrillation (PAF).


METHODS AND RESULTS
Sixty patients with symptomatic PAF underwent CPVI guided by 3D mapping and double Lasso technique. After achievement of CPVI, the induction was performed. The left atrium (LA) volume and the isolated LA area around the right and left-sided pulmonary veins were measured by the 3D mapping system. Sustained atrial tachyarrhythmias (>10 min) were induced after CPVI in 17 of 60 patients (28%). Patients with inducible atrial tachyarrhythmias had significantly smaller isolated areas when compared with the group with non-inducible tachyarrhythmias (16.7 +/- 2.3 vs. 18.8 +/- 2.9%, P < 0.05). After the initial procedure, recurrence occurred in 18 of 43 (42%) patients in the non-inducible group and in 7 of 17 (41%) in the inducible group during follow-up. A repeat procedure was performed in all 25 patients with recurrence. Five patients had a recurrence after the repeat procedure during 20.8 +/- 7.5 months, and there was no difference between the two groups.


CONCLUSION
Inducibility of atrial tachyarrhythmias is associated with proportionally smaller isolated area and does not predict the clinical efficacy of CPVI in patients with PAF.",2008,Europace
