title,abstract,year,journal
Incidence of and causes for all-cause hospitalizations in patients with atrial fibrillation,"Background: Atrial fibrillation (AF) is the most common cardiac arrhythmia in clinical practice, and its prevalence is expected to further increase in the future. AF patients not only have a high number of comorbidities, but they also have an increased risk of hospital admissions compared to individuals without AF. Nevertheless, predicting hospital admission risk among patients with AF remains difficult, and possible preventive strategies unclear. 
Based on these gaps in knowledge, the overall goal of this PhD thesis was to investigate the incidence of and causes for all-cause hospital admission in patients with AF. The specific aims were (1) to perform a systematic review and meta-analysis summarizing the current evidence of the incidence of and associated risk factors for hospital admissions in AF patients; (2) to identify risk factors for hospital admissions in our own cohorts and subsequently use this knowledge to develop and validate a risk score for predicting hospital admissions; (3) to identify psychosocial factors associated with hospital admissions in patients with AF. 
Methods: For the meta-analysis, we performed a comprehensive literature search in PubMed, EMBASE and CENTRAL, and pooled incidence rates for hospital admissions using random-effects models. Factors associated with observed between-study heterogeneity were identified using meta-regression analysis. 
For the second and third study, we used data of two ongoing, prospective observational cohort studies, the Basel Atrial Fibrillation Cohort Study (BEAT-AF) and the Swiss Atrial Fibrillation Cohort Study (Swiss-AF) in which 3,968 patients with diagnosed AF were enrolled. Unplanned hospital admissions were defined as any unpredicted admission leading to at least one overnight stay. For the second study, we used the Swiss-AF data set as the derivation cohort and performed a variable selection using the least absolute shrinkage and selection operator (LASSO) method. Multivariable adjusted Cox regression analyses were performed to assess the effect of the selected variables on all-cause hospitalization. Based on regression coefficients we constructed a risk score and subsequently validated the score in the external validation cohort (BEAT-AF). 
For the third study, we used psychosocial factors, such as marital status, education, level of depression and health perception, and investigated their effects on risk of hospital admission. Cox regression analyses adjusted for conventional risk factors for hospital admission were performed to calculate hazard ratio (HR). 
Results: We included 35 studies of 311â€™314 AF patients in the meta-analysis. The pooled incidence of all-cause hospital admissions was 43.7 per 100 person-years. AF patients were more often admitted for cardiovascular causes (26.3 per 100 person-years), but the risk of non-cardiovascular hospitalizations was substantial (15.7 per 100 person-years). Associated factors for hospital admission were older age, longer follow-up time and prevalent chronic pulmonary disease or cancer. 
In the second study we found that the most important predictors for all-cause hospital admission were age (75-79 years: adjusted hazard ratio [aHR], 1.33; 95% confidence interval [95% CI], 1.00-1.77; 80-84 years: aHR, 1.51; 95% CI, 1.12-2.03; ï‚³85 years: aHR, 1.88; 95% CI, 1.35-2.61), prior pulmonary vein isolation (aHR, 0.74; 95% CI, 0.60-0.90), hypertension (aHR, 1.16; 95% CI, 0.99-1.36), diabetes (aHR, 1.38; 95% CI, 1.17-1.62), coronary heart disease (aHR, 1.18; 95% CI, 1.02-1.37), prior stroke/TIA (aHR, 1.28; 95% CI, 1.10-1.50), heart failure (aHR, 1.21; 95% CI, 1.04-1.41), peripheral artery disease (aHR, 1.31; 95% CI, 1.06-1.63), cancer (aHR, 1.33; 95% CI, 1.13-1.57), renal failure (aHR, 1.18, 95% CI, 1.01-1.38), and previous falls (aHR, 1.44; 95% CI, 1.16-1.78). A risk score with these variables was well calibrated, and achieved a C statistic of 0.64 (95% CI, 0.61-0.66) in the derivation and 0.59 (95% CI, 0.56-0.63) in the external validation cohort. 
In the third study including patients from Swiss-AF, 1582 (67.1%) were married, 156 (6.6%) were single, 287 (12.2%) were divorced, and 333 (14.1%) were widowed. Two hundred and seventy six patients (11.7%) had at most a primary education, 1171 (49.7) had secondary education, and 911 (38.6%) had a college or university degree. Depression or depressive symptoms was present in 99 (4.2%) patients. Median health perception was 75 (interquartile range [IQR], 60-85) on a scale ranging from 0-100, with higher scores indicated better health perception. The highest risk of all-cause hospital admission was observed in single (aHR, 1.35; 95% CI, 1.05-1.75) or divorced patients (aHR, 1.26; 95% CI, 1.03-1.54), and in those who reported low health perception (aHR for <75 points, 1.40; 95% CI, 1.21-1.61). 
Conclusions: The overall incidence of hospital admissions in patients with AF is high. The risk of hospital admissions is related to multiple cardiovascular and non-cardiovascular risk factors, including several psychosocial factors and subjective health perception. 
Outlook: Given the high risk among AF patients of being admitted to the hospital and the high burden of associated risk factors, new multidisciplinary preventive strategies are needed with the goal to reduce hospital admissions, unfavorable patient outcomes and healthcare costs.",2019,
LARS: Stata module to perform least angle regression,"Least Angle Regression is a model-building algorithm that considers parsimony as well as prediction accuracy. This method is covered in detail by the paper Efron, Hastie, Johnstone and Tibshirani (2004), published in The Annals of Statistics. Their motivation for this method was a computationally simpler algorithm for the Lasso and Forward Stagewise regression. There are many criticisms of stepwise regression, one of which is that it is a ""greedy"" algorithm and that the regression coefficients are too large. Ridge regression is one method of model-building that shrinks the coefficients by making the sum of the squared coefficients less than some constant. The Lasso is similar but the constaint is that the sum of the ""mod"" coefficients is less than a constant. One implication of this will be that the solution will contain coefficients that are exactly 0 and hence have the property of parsimony i.e. a simpler model.",2006,Statistical Software Components
Factors affecting genomic selection revealed by empirical evidence in maize,"Abstract Genomic selection (GS) as a promising molecular breeding strategy has been widely implemented and evaluated for plant breeding, because it has remarkable superiority in enhancing genetic gain, reducing breeding time and expenditure, and accelerating the breeding process. In this study the factors affecting prediction accuracy (rMG) in GS were evaluated systematically, using six agronomic traits (plant height, ear height, ear length, ear diameter, grain yield per plant and hundred-kernel weight) evaluated in one natural and two biparental populations. The factors examined included marker density, population size, heritability, statistical model, population relationships and the ratio of population size between the training and testing sets, the last being revealed by resampling individuals in different proportions from a population. Prediction accuracy continuously increased as marker density and population size increased and was positively correlated with heritability; rMG showed a slight gain when the training set increased to three times as large as the testing set. Low predictive performance between unrelated populations could be attributed to different allele frequencies, and predictive ability and prediction accuracy could be improved by including more related lines in the training population. Among the seven statistical models examined, including ridge regression best linear unbiased prediction (RR-BLUP), genomic BLUP (GBLUP), BayesA, BayesB, BayesC, Bayesian least absolute shrinkage and selection operator (Bayesian LASSO), and reproducing kernel Hilbert space (RKHS), the RKHS and additive-dominance model (Addâ€¯+â€¯Dom model) showed credible ability for capturing non-additive effects, particularly for complex traits with low heritability. Empirical evidence generated in this study for GS-relevant factors will help plant breeders to develop GS-assisted breeding strategies for more efficient development of varieties.",2018,Crop Journal
Building and validating a predictive model for DVM academic performance,"Background: Predicting success in the veterinary curriculum with admissions variables is a longstanding interest of veterinary faculty. As linear models have consistently outperformed experts' opinions when making quantitative estimates, integrating them into admissions could both improve the outcome and reduce the burden of the admissions process. Aims and Objectives: To build and test linear models for predicting first year grade point average (GPA) and practice readiness in the Doctor of Veterinary Medicine (DVM) program. Materials and Methods: The authors built and validated models for predicting first year GPA and clinical rotation performance using data from the college's application management system and internal records. Lasso regression was used to select the subset of variables that best predicted both first year GPA and clinical faculty's ratings of practice readiness. Results: Validated models indicated no application variables reliably predicted practice readiness. Only total undergraduate GPA, GRE verbal/quantitate score, reference letter positivity, and number of unexplained course withdrawals reliably predicted first year GPA. Conclusion: Selecting applicants who will be successful in the first year of the veterinary curriculum is an important objective, particularly given the challenges many students face during this part of the veterinary curriculum. The overarching goal of a veterinary curriculum, however, is to produce practice ready veterinarians, thus additional work must be done to improve our ability to identify applicants who will be poised for success upon graduation.",2019,Education in the Health Professions
Preliminary test and Stein-type shrinkage LASSO-based estimators,"Suppose the regression vector-parameter is subjected to lie in a subspace hypothesis in a linear regression model. In situations where the use of least absolute and shrinkage selection operator (LASSO) is desired, we propose a restricted LASSO estimator. To improve its performance, LASSO-type shrinkage estimators are also developed and their asymptotic performance is studied. For numerical analysis, we used relative efficiency and mean prediction error to compare the estimators which resulted in the shrinkage estimators to have better performance compared to the LASSO.",2018,Sort-statistics and Operations Research Transactions
"Determinants of dividend payout and dividend propensity in an emerging market, Iran: an application of the LASSO","Accurate prediction of dividends is important for market participants such as investors, firm managers, and monitoring authorities, as they can, respectively, invest, manage dividend decisions, and monitor dividend policies more effectively. We identify the most relevant variables for predicting the dividend payout of the firms in an emerging market, Iran, using the least absolute shrinkage and selection operator (LASSO). The advantages of the LASSO include: enhancing the prediction accuracy of the dividend model, improving interpretation of the results, and applicability to high-dimensional data. We obtain several results. First, some fundamental determinants of dividends in the industrialized economies such as market-to-book ratio and current ratio, do not play a role in deciding dividends in Iran. Second, LASSO-selected variables outperform the variables commonly used in the literature in terms of model fit and prediction accuracy. Third, business risk, leverage, return on assets and effective tax rate are the most important predictors of dividend propensity of the Iranian firms. Fourth, if the support vector machine algorithm, an often-used classification method, is combined with LASSO-selected variables, it can better discriminate between dividend-paying and dividend non-paying firms than other methods such as logistic regression and linear discriminant analysis.Abbreviations: LASSO: Least Absolute Shrinkage and Selection Operator; TSE: Tehran Stock Exchange; RMSE: Root Mean Squared Errors; MAE: Mean Absolute Errors; ROC: Receiver Operating Characteristics; GMM: Generalized Method of Moments; MENA: Middle East and North Africa region; AIC: Akaike Information Criterion; BIC: Bayesian Information Criterion; LARS: Least Angel Regression; OLS: Ordinary Least Squares; AUC: Area Under Curve; BS: Brier Score ; OA: Overall Accuracy; LDA: Linear Discriminant Analysis; SVM: Support Vector Machine algorithm; LR: Logistic Regression.",2019,Applied Economics
A New Perspective on Boosting in Linear Regression via Subgradient Optimization and Relatives,"In this paper we analyze boosting algorithms in linear regression from a new perspective: that of modern first-order methods in convex optimization. We show that classic boosting algorithms in linear regression, namely the incremental forward stagewise algorithm (FS$_\varepsilon$) and least squares boosting (LS-Boost($\varepsilon$)), can be viewed as subgradient descent to minimize the loss function defined as the maximum absolute correlation between the features and residuals. We also propose a modification of FS$_\varepsilon$ that yields an algorithm for the Lasso, and that may be easily extended to an algorithm that computes the Lasso path for different values of the regularization parameter. Furthermore, we show that these new algorithms for the Lasso may also be interpreted as the same master algorithm (subgradient descent), applied to a regularized version of the maximum absolute correlation loss function. We derive novel, comprehensive computational guarantees for several boosting algorithms in linear regression (including LS-Boost($\varepsilon$) and FS$_\varepsilon$) by using techniques of modern first-order methods in convex optimization. Our computational guarantees inform us about the statistical properties of boosting algorithms. In particular they provide, for the first time, a precise theoretical description of the amount of data-fidelity and regularization imparted by running a boosting algorithm with a prespecified learning rate for a fixed but arbitrary number of iterations, for any dataset.",2015,ArXiv
Comparison of regression techniques to predict response of oilseed rape yield to variation in climatic conditions in Denmark,"Abstract Statistical regression models represent alternatives to process-based dynamic models for predicting the response of crop yields to variation in climatic conditions. Regression models can be used to quantify the effect of change in temperature and precipitation on yields. However, it is difficult to identify the most relevant input variables that should be included in regression models due to the high number of candidate variables and to their correlations. This paper compares several regression techniques for modeling response of winter oilseed rape yield to a high number of correlated input variables. Several statistical regression methods were fitted to a dataset including 689 observations of winter oilseed rape yield from replicated field experiments conducted in 239 sites in Denmark, covering nearly all regions of the country from 1992 to 2013. Regression methods were compared by cross-validation. The regression methods leading to the most accurate yield predictions were Lasso and Elastic Net, and the least accurate methods were ordinary least squares and stepwise regression. Partial least squares and ridge regression methods gave intermediate results. The estimated relative yield change for a +1Â°C temperature increase during flowering was estimated to range between 0 and +6 %, depending on choice of regression method. Precipitation was found to have an adverse effect on yield during autumn and winter. It was estimated that an increase in precipitation of +1 mm/day would result in a relative yield change ranging from 0 to âˆ’4 %. Soil type was also important for crop yields with lower yields on sandy soils compared to loamy soils. Later sowing was found to result in increased crop yield. The estimated effect of climate on yield was highly sensitive to the chosen regression method. Regression models showing similar performance led in some cases to different conclusions with respect to effect of temperature and precipitation. Hence, it is recommended to apply an ensemble of regression models, in order to account for the sensitivity of the data driven models for projecting crop yield under climate change.",2017,European Journal of Agronomy
Perturbation Bootstrap in Adaptive Lasso,"The Adaptive Lasso(Alasso) was proposed by Zou [\textit{J. Amer. Statist. Assoc. \textbf{101} (2006) 1418-1429}] as a modification of the Lasso for the purpose of simultaneous variable selection and estimation of the parameters in a linear regression model. Zou (2006) established that the Alasso estimator is variable-selection consistent as well as asymptotically Normal in the indices corresponding to the nonzero regression coefficients in certain fixed-dimensional settings. In an influential paper, Minnier, Tian and Cai [\textit{J. Amer. Statist. Assoc. \textbf{106} (2011) 1371-1382}] proposed a perturbation bootstrap method and established its distributional consistency for the Alasso estimator in the fixed-dimensional setting. In this paper, however, we show that this (naive) perturbation bootstrap fails to achieve second order correctness in approximating the distribution of the Alasso estimator. We propose a modification to the perturbation bootstrap objective function and show that a suitably studentized version of our modified perturbation bootstrap Alasso estimator achieves second-order correctness even when the dimension of the model is allowed to grow to infinity with the sample size. As a consequence, inferences based on the modified perturbation bootstrap will be more accurate than the inferences based on the oracle Normal approximation. We give simulation studies demonstrating good finite-sample properties of our modified perturbation bootstrap method as well as an illustration of our method on a real data set.",2017,arXiv: Methodology
Development and reliability of metrics to characterize types and sources of stigma among men who have sex with men and female sex workers in Togo and Burkina Faso,"BackgroundStigma is a multifaceted concept that potentiates Human Immunodeficiency Virus and sexually transmitted infection acquisition and transmission risks among key populations, including men who have sex with men (MSM) and female sex workers (FSW). Despite extensive stigma literature, limited research has characterized the types and sources of stigma reported by key populations in Sub-Saharan Africa.MethodsThis study leveraged data collected from 1356 MSM and 1383 FSW in Togo and Burkina Faso, recruited via respondent-driven sampling. Participants completed a survey instrument including stigma items developed through systematic reviews and synthesis of existing metrics. Using exploratory factor analysis with promax oblique rotation, 16 items were retained in a stigma metric for MSM and 20 in an FSW stigma metric. To assess the measuresâ€™ convergent validity, their correlations with expected variables were examined through bivariate logistic regression models.ResultsOne factor, experienced stigma, included actions that were carried out by multiple types of perpetrators and included being arrested, verbally harassed, blackmailed, physically abused, tortured, or forced to have sex. Other factors were differentiated by source of stigma including healthcare workers, family and friends, or police. Specifically, stigma from healthcare workers loaded on two factors: experienced healthcare stigma included being denied care, not treated well, or gossiped about by healthcare workers and anticipated healthcare stigma included fear of or avoiding seeking healthcare. Stigma from family and friends included feeling excluded from family gatherings, gossiped about by family, or rejected by friends. Stigma from police included being refused police protection and items related to police confiscation of condoms. The Cronbachâ€™s alpha ranged from 0.71â€“0.82. Median stigma scores, created for each participant by summing the number of affirmative responses to each stigma item, among MSM were highest in Ouagadougou and among FSW were highest in both Ouagadougou and Bobo-Dioulasso. Validation analyses demonstrated higher stigma was generally significantly associated with suicidal ideation, disclosure of involvement in sex work or same-sex practices, and involvement in organizations for MSM or FSW.ConclusionsTaken together, these data suggest promising reliability and validity of metrics for measuring stigma affecting MSM and FSW in multiple urban centers across West Africa.",2019,BMC Infectious Diseases
