title,abstract,year,journal
Learning and Estimation Applications of an Online Homotopy Algorithm for a Generalization of the Lasso,"The LASSO is a widely used shrinkage and selection method for linear regression. We propose a generalization of the LASSO in which the $l_1$ penalty is applied on a linear transformation of the regression parameters, allowing to input prior information on the structure of the problem and to improve interpretability of the results. We also study time varying system with an $l_1$-penalty on the variations of the state, leading to estimates that exhibit few ``jumps''. We propose a homotopy algorithm that updates the solution as additional measurements are available. The algorithm takes advantage of the sparsity of the solution for computational efficiency and is promising for mining large datasets. The algorithm is implemented on three experimental data sets representing applications to traffic estimation from sparsely sampled probe vehicles, flow estimation in tidal channels and text analysis of on-line news.",2013,Discrete and Continuous Dynamical Systems - Series S
Texture Analysis of Breast DCE-MRI Based on Intratumoral Subregions for Predicting HER2 2+ Status,"Background: Breast tumor heterogeneity is related to risk factors that lead to aggressive tumor growth; however, such heterogeneity has not been thoroughly investigated. Purpose: To evaluate the performance of texture features extracted from heterogeneity subregions on subtraction MRI images for identifying human epidermal growth factor receptor 2 (HER2) 2+ status of breast cancers. Materials and Methods: Seventy-six patients with HER2 2+ breast cancer who underwent dynamic contrast-enhanced magnetic resonance imaging were enrolled, including 42 HER2 positive and 34 negative cases confirmed by fluorescence in situ hybridization. The lesion area was delineated semi-automatically on the subtraction MRI images at the second, fourth, and sixth phases (P-1, P-2, and P-3). A regionalization method was used to segment the lesion area into three subregions (rapid, medium, and slow) according to peak arrival time of the contrast agent. We extracted 488 texture features from the whole lesion area and three subregions independently. Wrapper, least absolute shrinkage and selection operator (LASSO), and stepwise methods were used to identify the optimal feature subsets. Univariate analysis was performed as well as support vector machine (SVM) with a leave-one-out-based cross-validation method. The area under the receiver operating characteristic curve (AUC) was calculated to evaluate the performance of the classifiers. Results: In univariate analysis, the variance from medium subregion at P-2 was the best-performing feature for distinguishing HER2 2+ status (AUC = 0.836); for the whole lesion region, the variance at P-2 achieved the best performance (AUC = 0.798). There was no significant difference between the two methods (P = 0.271). In the machine learning with SVM, the best performance (AUC = 0.929) was achieved with LASSO from rapid subregion at P-2; for the whole region, the highest AUC value was 0.847 obtained at P-2 with LASSO. The difference was significant between the two methods (P = 0.021). Conclusion: The texture analysis of heterogeneity subregions based on intratumoral regionalization method showed potential value for recognizing HER2 2+ status in breast cancer.",2020,
Biomass in Sweden: Biomass-fired CHP plant in Eskilstuna,"Abstract In March, a new biomass-fired combined heat and power (CHP) plant was inaugurated in the Swedish city of Eskilstuna. It is one of several new projects aimed at increasing the use of biomass-fired CHP in Sweden. It is also the first commercial power plant to feature a new type of high-efficiency technology â€” the high-voltage generator, Powerformerâ„¢. Anders Bjorklund, Eskilstuna Energi & Miljo AB, Tord Niklasson, Swedish National Energy Administration and Mats Wahlen, ALSTOM Power Generation AB describe the biomass CHP system.",2001,Refocus
Ensembles of Regularized Linear Models,"We propose an approach for building ensembles of regularized linear models by optimizing a novel objective function, that encourages sparsity within each model and diversity among them. Our procedure works on top of a given penalized linear regression estimator (e.g., Lasso, Elastic Net, SCAD) by fitting it to possibly overlapping subsets of features, while at the same time encouraging diversity among the subsets, to reduce the correlation between the predictions that result from each fitted model. The predictions from the models are then aggregated. For the case of an Elastic Net penalty and orthogonal predictors, we give a closed form solution for the regression coefficients in each of the ensembled models. An extensive simulation study and real-data applications show that the proposed method systematically improves the prediction accuracy of the base linear estimators being ensembled. Extensions to GLMs and other models are discussed.",2017,
Structural determinants of health among women who started selling sex as minors in Burkina Faso.,"OBJECTIVES
To explore the prevalence of and factors associated with initiation of selling sex as a minor.


DESIGN
Data were drawn from cross-sectional studies of adult female sex workers (FSW) recruited through respondent-driven sampling in Ouagadougou and Bobo-Dioulasso, Burkina Faso.


METHODS
FSW completed a questionnaire that included a retrospective question regarding the age at which they started selling sex. Separate multivariate logistic regression analyses were conducted for each city to examine associations with initiation of selling sex as a minor (<18 year old), controlling for current age.


RESULTS
Of study participants, 27.8% (194/698) reported selling sex as a minor, ranging from 24.4% (85/349) in Bobo-Dioulasso to 31.2% (85/349) in Ouagadougou. In Ouagadougou, early initiates were more than twice as likely to report someone ever forced them to have sex [age-adjusted odds ratio (aaOR): 2.54, 95% confidence interval (CI): 1.53 to 4.23]. In Bobo-Dioulasso, those who started as minors were more likely to report someone ever tortured them (aaOR: 2.29, 95% CI: 1.28 to 4.10). In both cities, early initiates were more likely to not use a condom with a client if offered more money (Ouagadougou aaOR: 2.34, 95% CI: 1.23 to 4.47; Bobo-Dioulasso aaOR: 2.37, 95% CI: 1.29 to 4.36). In Ouagadougou, women who had started selling sex at a young age were half as likely to have been tested for HIV more than once ever (aaOR: 0.50, 95% CI: 0.26 to 0.94). In Bobo-Dioulasso, early initiates were less likely to attend HIV-related talks or meetings (aaOR: 0.56, 95% CI: 0.33 to 0.97).


CONCLUSIONS
A substantial proportion of FSW in Burkina Faso started selling sex as minors. The findings show that there are heightened vulnerabilities associated with selling sex below age 18 years, including physical and sexual violence, client-related barriers to condom use, and lower access to HIV-related services.",2015,Journal of acquired immune deficiency syndromes
SensibilitÃ© dâ€™ AnophÃ¨les gambiae aux insecticides en CÃ´te-dâ€™Ivoire,"Des etudes sur la sensibilite dâ€™Anopheles gambiae aux insecticides ont ete menees dans des zones de riziculture en Cote-dâ€™Ivoire. Les populations larvaires dâ€™An. gambiae de ce pays sont resistantes au DDT mais sensibles aux insecticides organophosphores. Les populations adultes issues des environs de Bouake sont resistantes au DDT et a la permethrine. Elles presentent une forte presomption de resistance au propoxur. Lâ€™effet knock-down de la deltamethrine et de la lambdacyhalothrine est retarde et considerablement diminue. La souche temoin de Bobo-Dioulasso, ainsi que des populations provenant de la zone de Katiola, eloignee de la ville, sont toujours sensibles aux trois pyrethrinoides. La resistance aux pyrethrinoides dans Bouake a peut-etre ete selectionnee par lâ€™utilisation intensive des bombes insecticides a usage domestique.",1994,
"ErnÃ¤hrung von sozial benachteiligten Menschen am Beispiel von Tafelkunden : Betrachtung des ErnÃ¤hrungs- und Gesundheitsverhaltens, der Verbreitung von ErnÃ¤hrungsarmut und des Obst- und GemÃ¼sekonsums","In industrialisierten Landern folgt die Verteilung der Mortalitat und Morbiditat einem sozialen Gradienten. Damit einhergehend weisen Personen mit einem niedrigen soziookonomischen Status (SES) eine ungesundere Ernahrung auf und konsumieren weniger Obst und Gemuse (OG) als Personen mit einem hoheren SES. Eine besonders gefahrdete Personengruppe sind sozial benachteiligte Menschen wie zum Beispiel Tafelkunden (TK). Unter diesen ist Ernahrungsarmut (EA) stark verbreitet. Tafeln existieren weltweit und verteilen Lebensmittel, die u.a. von Lebensmittelhandlern gespendet werden, an sozial benachteiligte Menschen. Allein in Deutschland werden etwa 1.5 Millionen Menschen von uber 900 Tafeln mit uberwiegend frischem OG versorgt. In Deutschland ist aber sehr wenig uber die Ernahrung von TK bekannt. Damit ergaben sich fur diese Arbeit folgende Fragestellungen: 
1. Unterscheiden sich TK aus verschiedenen Stadten in ihrem Gesundheitszustand und Ernahrungsverhalten untereinander und von der deutschen Bevolkerung mit einem niedrigen SES (2. Kapitel, erste Publikation)? 
2. Wie verbreitet ist EA unter TK und welche soziodemographischen, gesundheitlichen und tafelassoziierten Variablen korrelieren mit EA (3. Kapitel, zweite Publikation)? 
3. Unterscheiden sich mannliche TK von tafelnutzungsberechtigten mannlichen nicht-TK in ihrem OG-Konsum und kann der OG Konsum von sozial schwachen Mannern durch eine wochentliche kostenlose Bereitstellung (14 Portionen/ pro Woche) von selbstgewahlten OG uber einen Zeitraum von vier Wochen erhoht werden (4. Kapitel, dritte Publikation)? 
Fur die Publikationen dieser Arbeit wurden Daten zur Soziodemographie, zum Gesundheits- und Ernahrungsverhalten sowie zu EA in verschiedenen Stadten erhoben. Die Fragen fur die dabei verwendeten Fragebogen stammen aus den Erhebungsinstrumenten der nationalen Befragungen DEGS (Studie zur Gesundheit Erwachsener in Deutschland) und GEDA (Gesundheit in Deutschland aktuell) und der FIES (Food Insecurity and Experience Scale), wurden aber an die Zielgruppe adaptiert. Allen Publikationen liegt ein Querschnittstudiendesign zugrunde. In der dritten Publikation wurde auserdem fur den zweiten Teil der Fragestellung eine Interventionsstudie im Langsschnittstudiendesign durchgefuhrt. 
Die erste Publikation zeigt, dass es sich bei TK an den drei untersuchten Standorten (Berlin n=94, Ludwigsburg n=64, Fulda n=114) um keine homogene Gruppe handelt. TK schatzen TK ihre Gesundheit vermehrt schlechter ein (Anteil subjektive Einschatzung der Gesundheit als moderat, schlecht oder sehr schlecht: Manner 67.4% vs. 43.5%, Frauen 68.8% vs. 36.7%) im Vergleich zu der deutschen Bevolkerung mit einem niedrigen SES. Auserdem konsumieren weniger TK taglich Obst (Anteil taglicher Obstkonsum: Manner 39.8% vs. 43.5%, Frauen 56.2% vs. 62.4%). Die zweite Publikation offenbart mit 70.2% die weite Verbreitung von EA unter TK (Stuttgart n=510, Karlsruhe n=186, Berlin n=337). Insbesondere die Variablen Alter (r Ï„ = -0.224, p<0.000) und Rauchen (V=0.219, p<0.000) sind stark mit EA assoziiert. Die dritte Publikation verdeutlicht, dass sich mannliche TK (n=24) von tafelnutzungsberechtigten mannlichen nicht-TK (n=28) aus Stuttgart bezuglich der konsumierten OG-Menge (2.2 Portionen/Tag vs. 1.8 Portionen/Tag) und der OG-Sortenvielfalt (17 Sorten/Monat vs. 14.4 Sorten/Monat) nicht signifikant unterscheiden. Weiterhin wird aus der dritten Publikation ersichtlich, dass die wochentliche kostenlose Bereitstellung von OG uber einen Zeitraum von vier Wochen (14 Portionen/Woche) in der Interventionsgruppe (n=25) im Vergleich zur Kontrollgruppe (n=27) signifikant sowohl zu einer hoheren konsumierten OG-Menge (DifferenzIG 1.1 Portionen/Tag vs. DifferenzKG -0.2 Portionen/Tag) als auch zu einer Steigerung der Sortenvielfalt (DifferenzIG 2.6 Sorten/Monat vs. DifferenzKG -1.2 Sorten/Monat) fuhrt. Auffallig ist der hohe Anteil an Rauchern unter TK, sowohl in der ersten (46.9%) als auch in der dritten Publikation (66.7%). Die genannten Ergebnisse decken sich mit den Forschungsergebnissen aus dem Ausland. 
Die Aussagen der Publikationen sind durch methodische Einschrankungen der Standardisierung und Reprasentativitat (erste und zweite Publikation) sowie durch das Querschnittstudiendesign (erste und zweite Publikation sowie erste Fragestellung der dritten Publikation) limitiert. 
Zusammenfassend lasst sich schlussfolgern, dass Tafeln eine geeignete Moglichkeit darstellen, um sozial benachteiligte Menschen zu erreichen, aber auch, um deren Ernahrungs- und Gesundheitsverhalten sowie Interventionsmoglichkeiten zu erforschen. Das Ausmas der gesundheitlichen Ungleichheit wird vermutlich unterschatzt. EA ist unter TK stark verbreitet und Rauchen als Armutsfaktor unter TK sollte weiter erforscht werden. Die kostenlose Bereitstellung von OG scheint eine geeignete Moglichkeit zu sein, um den Konsum und die Sortenvielfalt von OG unter sozial benachteiligten Menschen zu erhohen. 
In industrialized countries the distribution of mortality of morbidity follows a social gradient. Hence, among people with a lower socioeconomic status (SES) the nutritional quality is poor and low fruit and vegetable consumption occur more frequently compared to people with a higher SES. A particularly vulnerable group are socially disadvantaged people such as food bank users. Food insecurity (FI) is also more common in this population group. Food banks exist worldwide and distribute donated groceries (e.g. from food retailers) to socially disadvantaged people. In Germany, 1.5 million users are supported by over 900 food banks providing mainly fresh fruits and vegetables (FV). In Germany, little is known about the diet of food bank users. The following research questions were developed for this thesis: 
1. Are there differences in health and nutrition status among people using food banks in different types of cities and can differences in these variables be found when comparing food bank users with the as low SES defined German population (chapter 2, first publication)? 
2. How widespread is FI among food bank users and which socio-demographic, food bank-related and health variables are associated with FI (chapter 3, second publication)? 
3. Are there differences in FV intake between male food bank users and male eligible non-food bank users and can FV intake among this study population be increased by an intervention providing weekly free and personally selected FV (14 portions/ per week) for four weeks (chapter 4, third publication)? 
For the publications of this thesis data of food bank users regarding socio-demographic, health- and nutrition-related variables were collected in different cities. The questions were taken from the questionnaire of the national study DEGS (German Health Interview and Examination Survey for Adults) and GEDA (German Health Update) and from the FIES (Food Insecurity and Experience Scale). Additionally, questionnaires were adapted to the study population. In all publications cross-sectional study designs were used. Except in the third publication for the second part of the research questions an intervention study using a longitudinal design was conducted. 
The first publication shows that food bank users from the three examined cities (Berlin n=94, Ludwigsburg n=64, Fulda n=114) are not a homogenous group. Food bank users assess their self-rated health mostly worse than people from the low SES German population (proportion self-rated health as moderate, bad or very bad: men 67.4% vs. 43.5%, women 68.8% vs. 36.7%). Additionally, they consume less fruit daily (proportion of daily fruit consumption: men 39.8% vs. 43.5%, women 56.2% vs. 62.4%). The second publication reveals with 70.2% a high rate of FI among food bank users (Stuttgart n=510, Karlsruhe n=186, Berlin n=337). Especially age (r Ï„ = -0.224, p<0.000) and smoking (V=0.219, p<0.000) are strongly associated with FI. The third publication clarifies that male food banks users (n=24) from Stuttgart did not differ in consumed FV amount (2.2 portions/day vs. 1.8 portions/day) and variety (17 types/month vs. 14.4 types/month) compared to non-food bank users (n=28). Besides, the weekly provision of free fruit and vegetables for four weeks (14 portions/ month) increases the consumed fruit and vegetable amount (difference-IG 1.1 portions/day vs. difference-CG -0.2 portions/day) and variety (difference-IG 2.6 types/month vs. difference-CG -1.2 types/month) among the intervention group (n=25) compared to the control group (n=27). It is important to note the high amount of smokers among food bank users both in the first (46.9%) and the third publication (66.7%). The reported results correspond to research from abroad. 
Results of the publications are limited by unbalanced standardization and representation procedures (first and second publication) and the cross-sectional design (first and second publication and first research question of the third publication). 
It can be concluded that food banks are a suitable option to target socially disadvantaged people and to explore their nutrition and health behavior as well as a suitable option to provide intervention opportunities. The extent of health inequality is probably underestimated. FI is widespread among food bank users and smoking as poverty factor among food bank users should be further examined. The free provision of fruit and vegetables seems to be an appropriate possibility to increase the consumption and variety of fruit and vegetables among socially disadvantaged people.",2018,
Sparse Approximations Of Protein Structure From Noisy Random Projections,"Single-particle electron microscopy is a modern technique that biophysicists employ to learn the structure of proteins. It yields data that consist of noisy random projections of the protein structure in random directions, with the added complication that the projection angles cannot be observed. In order to reconstruct a three-dimensional model, the projection directions need to be estimated by use of an ad-hoc starting estimate of the unknown particle. In this paper we propose a methodology that does not rely on knowledge of the projection angles, to construct an objective data-dependent low-resolution approximation of the unknown structure that can serve as such a starting estimate. The approach assumes that the protein admits a suitable sparse representation, and employs discrete L-1-regularization (LASSO) as well as notions from shape theory to tackle the peculiar challenges involved in the associated inverse problem. We illustrate the approach by application to the reconstruction of an E. coli protein component called the Klenow fragment.",2011,The Annals of Applied Statistics
The Shotgun Method 2.0 Estimating Population Numbers for Second-Century AD Sagalassos,"During the last 150 years archaeologists and historians attempted to estimate the population sizes of cities and regions in the past via the application of a large variety of formulae. Most of these formulae were, however, heavily criticised, or had to rely on guesstimates. In 2006, Mogens Herman Hansen presented the â€˜shotgun methodâ€™ as an alternative. Here, different calculation formulae were applied on the same context and the final result consisted of the total range of all the estimates. These ranges, however, are often too broad to make further inferences. Therefore, this paper aims â€” in the spirit of the â€˜shotgun methodâ€™ â€” at surveying the population estimates to come to distributions which make it possible to select a population range with a specific probability. This refined method makes it possible to calculate both the carrying capacity and the population of a specific region or city. Consequently, inferences can be made on the population pressure and relation between an urban centre and its territory. The ancient site of Sagalassos (SW Anatolia) during the second century AD is chosen as a case study to obtain an estimate for the urban and territorial population.",2018,Ancient Society
Mechanism of actin polymerization with yeast formin Bni1p: effect of the KCl concentration on the FH2 mediated actin nucleation,"Formin proteins are actin nucleators and elongators which can be found in most 
eukaryotic cells. In this work, structure-function relationships between yeast formin 
Bni1p and actin polymerization were studied. 
 
In the first part of this work, it was attempted to clone and express formin constructs 
derived from yeast Bni1p (Saccharomyces cerevisiae), including the key FH2 domain 
and a modified FH1 domain. Biomathematical models involving both diffusion and 
concentration-limited actin recruitment kinetics could be tested with such proteins. 
Cloning was mostly successful, but only the FH2 domain alone was expressed. 
 
In the second part of this work, a salt effect on FH2 mediated actin nucleation was 
discovered by means of pyrene assays and epifluorescence microscopy. Potassium 
chloride (KCl) is a downregulator of FH2 nucleation activity: a higher KCl 
concentration leads to a significantly lower actin polymerization speed (kp, m), to a 
bigger lag time (tlag) and to a bigger t1/2, with the respective actin filament length 
distributions. The salt effect was shown to be significant in a KCl concentration range 
from 10 mM to 90 mM at two different FH2 concentration, but not in absence of FH2. 
The critical KCl concentration is lowered in the presence of FH2. Some initial 
experiments with sodium chloride point to a non-specific nature of this salt. This is in 
agreement with the electrostatic nature of the salt effect, which was studied further 
by computational means: A decrease of the KCl concentration leads to lower binding 
free energies of the protein-protein interactions in the crystallographically 
characterized actin-FH2 complex 1Y64. This is especially the case for the electrostatic 
Coulomb interaction of a specific area (""lasso"" site). ANCHOR calculation results of 
solvent accessible surface areas (SASAs) corroborate the importance of this site. 
 
The experimentally found downregulation of FH2 
mediated actin nucleation by KCl can 
therefore be explained by reduced actin recruitment by the FH2 dimer: KCl diminishes 
the surface charge of FH2 and actin and thus weakens electrostatic Coulomb 
interactions. 
 
In future, this newly discovered salt effect should be considered in experiments on 
formins, for example when performing in vitro screens for FH2 inhibitors. The 
relevance of this new salt effect in vivo remains to be demonstrated.",2012,
