id,title,abstract,year,field,author,inCitation,outCitation,journalName,journalVolume,journalPages
809b7e37cd1d6d388484da088e0b6533884b3530,Forecasting and trading the EUR/USD exchange rate with stochastic Neural Network combination and time-varying leverage,"The motivation of this paper is to investigate the use of a Neural Network (NN) architecture, the Psi Sigma Neural Network (PSN), when applied to the task of forecasting and trading the Euro/Dollar (EUR/USD) exchange rate using the European Central Bank (ECB) fixing series and to explore the utility of Kalman Filters in combining NN forecasts. This is done by benchmarking the statistical and trading performance of PSN with a Naive Strategy, an Autoregressive Moving Average (ARMA) model and two different NN architectures, a Multi-Layer Perceptron (MLP) and a Recurrent Network (RNN). We combine our NN forecasts with Kalman Filter, a traditional Simple Average, the Bayesian Average, the Granger-Ramanathan's Regression Approach (GRR) and the Least Absolute Shrinkage and Selection Operator (LASSO). Finally, we apply a time-varying leverage strategy based on RiskMetrics volatility forecasts in order to further improve the forecasting performance of our models and combinations. The statistical and trading performance of our models is estimated throughout the period of 2002-2010, using the last two years for out-of-sample testing. In terms of our results, the PSN outperforms all models' individual performances in terms of statistical accuracy and trading performance. The forecast combinations also present improved empirical evidence, with Kalman Filters outperforming by far its benchmarks. We also note that after the application of the time varying leverage, all models except ARMA show a substantial increase in their trading performance.",2012,Computer Science,"list(name = ""Georgios Sermpinis"", ids = ""1702281""); list(name = ""Christian L. Dunis"", ids = ""2029095""); list(name = ""Jason Laws"", ids = ""8533253""); list(name = ""Charalampos Stasinakis"", ids = ""1784769"")",1c7fb67cde02ece49b24faf53e4dc274646e08c8; 1c3d93f65c13c266c3004818cc8a14a40a92ba2a; b5e7c73f24edbe779306048db2d7ceeda1228d4f; 6683d48bd3966f717db3c51802cbce192b7a49dc; ff5e4397b85defb393339334c9ae297198cc8387; 1766c6071b9bc294279d9aae47fb01aa047d99b5; 5bcbaf415ea2297f86a8f5cf3243585ab5366609; c7cccbeaaad11a2197fa597ce04ed379b8d5c9a1; ea7d06a4977e344bb9f0a0c0eaea47e67550bab2; bf9904e6d8e021dda8e3013714e27aad3317828c; 5bd8f12006c9275daeca7069c7a3b2a111d46dec; 0000482313226490f15915ec6ccdf9b37e66bef8; 7c2b177aaaffcd5f794ae332e0fe12c3a80deb22; 9de43e4a8808dfdc081264ae23344ef38670cf15; b06b8a17bc0ac59d709ade2db42d24b3a80606e9; cf2de7ccbd827ce7b1c848b9eab673289eedbbc3; f604cde7fe090e07948a1ddfc894eef146d0b898; ebbb84e84a0e7fd7f5073ab2831d3945d2faff51; 2141a27b2069149c662fabd7ce820b322cf5ca88; c8918ecefb369509d5f29a557917f4d2c1af58f8; b3256be46d41fc15ffc8101b12200a9dbc136823; 7580bec3187fe18f0c39bc85ecfce8413d324a90; b7128f4eaae876e5a5e4704877c4dac8d09c2453; 9fffb93a93ff3c761354b3f1c44cbbce756d96d9; 145291e9b3419d56f35a3c9fe9dc45f83c434ec5; e049b30cdbec75b8c8fa06ec9006b604ecb06a29; 649802aeb5725b96d996ebc46c36c8e7c5d43f99; f25b367ea0525958e2949324e6d685b90d6e7448; 53d58205fd63de44598662c771da6b2d0be8801a; 328a8b05dc42dc1c621053be5547a4939fef7dbe; d6380a6bb17957ac77c258f771f38d08f1a7e86f; 1fffab513a3aecfb1d5f3e03c3d489e45d848584; 4c69c0f73b2a48ac111e4cd8149a38577bda838f; cbb1e9497ecc914ddd13769a6e7ba4db8ecf948e; dc4fb8778db99af8dd684b0644b0d782b9899e6f; c3b15962796b287c986b11bc3f15e1356afd25e7; 3c4ceb7df121ef3d01d493ec44c79450faab0cf2; b8ee6b81b0e56838ea6b81d30b41c5b5d4a12d0d; 36be8a913cc078627138a74fe420cb27ddb32efb; 610a4a0e85e1b94acb2c6c49cc15327fb6ba8f87; 467613f8a60bf8ad1f672a3caded56d384cf1520; 36059f26e68054b356ec13dac7a98b7beb9f3b43; 49a33c78e609a1aa0f8e970ed59a480fd3c8da55; 5879f12c0823211d63403620b52e23ed148ae5a8; 637b37b98419db30c17c6e047f4b7280145d7424; f11587828d7fdc913742ed886a74ee3ce6a0416f; a6b719668b0034a4dbe3a9fbdb4332d70ee2f678; 2ee5be3aa35da01782cbc99e663c302a2cb78bff,,Decis. Support Syst.,54,316-329
0edb4c0500a856287eedd610e198ca4eec5289a4,Regresi Kuantil Bayesian Dengan Penalti Adaptif Lasso Untuk Estimasi Pengaruh Pendidikan Terhadap Pendapatan Di Provinsi Sulawesi Selatan,"Pendidikan diharapkan dapat mendorong peningkatan produktivitas 
yang pada akhirnya bermuara pada peningkatan pendapatan masyarakat. 
Hubungan antara pendidikan dan pendapatan dapat dianalisis dengan 
persamaan Mincer. Studi ini bertujuan untuk meneliti hubungan antara lama 
sekolah (variabel yang mewakili pendidikan) dan potensi pengalaman 
(umur - lama sekolah) terhadap pendapatan. Pengaruh pendidikan terhadap 
pendapatan digambarkan oleh koefisien dari variabel lama sekolah yang 
umumnya dikenal sebagai return pendidikan. Regresi kuantil digunakan 
dalam penelitian ini untuk melihat efek pendidikan terhadap pendapatan 
pada berbagai tingkatan kuantil, bukan hanya pada ukuran pemusatan 
distribusi dari pendapatan. Persamaan Mincer ditaksir menggunakan tiga 
pendekatan, yaitu: (i) Quantile Regression (QR), (ii) Bayesian Quantile 
Regression (BQR), dan (iii) Bayesian Adaptive Lasso Quantile Regression 
(BALQR). Metode BALQR ini adalah perluasan dari metode BQR dengan 
memberikan penalti yang berbeda pada setiap koefisien regresi. Invers 
gamma digunakan sebagai distribusi prior untuk parameter penalti. Data 
yang digunakan untuk penelitian ini adalah hasil survei angkatan kerja 
nasional (SAKERNAS) 2014 di Provinsi Sulawesi Selatan. Hasil studi 
menunjukkan bahwa metode BALQR relatif lebih baik dibanding dengan 
dua metode lainnya berdasarkan hasil backtesting dan perbandingan nilai 
standar error. Selain itu, terdapat perbedaan plot garis regresi kuantil untuk 
sektor pertanian dan jasa-jasa. Return pendidikan pada sektor pertanian 
relatif sama antar kuantil sementara pada sektor jasa return pendidikan 
antar kuantil sebagian besar berbeda secara signifikan. 
================================================================================================================== 
Education plays an important role toward the increasing in 
productivity and earning. Using so-called mincer earning function, we 
investigated the effect of education and earning. This study using years of 
schooling (interpretation of education) and potensial experience as 
predictor variables. Effect of education represented by coefficient of 
variable years of schooling, commonly known as return to education. With 
quantile regression, allowing to specify the effect of covariate at different 
quantile levels not only at the center of its distribution, but also at its 
spread. We employed three methods to estimate parameters in mincer 
equation: (i) Quantile Regression (QR), (ii) Bayesian Quantile Regression 
(BQR) and (iii) Bayesian Adaptive Lasso Quantile Regression (BALQR). 
The latter method extends the bayesian Lasso penalty term by employing 
different penalty function with an adaptive tuning parameter accomodated 
in the inverse gamma prior distribution. Data used in this paper is samples 
from workers in agricultural and services sectors in South Sulawesi. 
Empirical results showed that BALQR relative outperformed over BQR and 
QR because it resulted better in backtesting and smaller standart error (SE). 
In addition, there are different pattern quantile regression line for 
agricultural and services sectors. Return to education in agricultural sector 
in most of quantile of earning are not different. More over, return to 
education in services different in most of quantile of earning.",2016,Geography,"list(name = ""Zablin"", ids = ""108684048"")",,,,,
9d544349365e82d39dc533341f2b3e1a1a9f6d26,Understanding hedge fund alpha using replication methodologies,"Abstract: In this paper we estimate alpha for major hedge fund indexes.Â  To set the stage for estimating alpha, we examine several alternative methods for replicating Hedge Fund Research Inc. hedge fund indexes.Â  The replication methods include stepwise regression,variations of the lasso shrinkage method, principal component regression, partial least squares regression, and dynamic linear regression.Â  We find that the lasso methods and dynamic regression are superior for generating hedge fund index replications and that the performance of the replications corresponds closely to that of the respective actual indexes.Â  Using these superior replications provides us with a solid platform for estimating alpha.Â  We find that at the height of the financial crisis the alphas computed with our methods generally were negative, in early 2009 when the stock market was rising alphas were generally positive, and inthe current environment of low volatility and low interest rates the alphas computed with our methods generally are close to zero and tend to exhibit low volatility.",2014,Economics,"list(name = ""Michael L. Tindall"", ids = ""97849233""); list(name = ""Jiaqi Chen"", ids = ""47740482"")",,,The Journal of Alternative Investments,17,
e477238f218e2e29e9d562f27c47da2ae13c8cd3,Abstract IA15: Predicting drug sensitivity from cancer cell lines,"High-throughput molecular characterization technologies have enabled detailed genetic and genomic characterization of large panels of cancer cell lines, including profiling of gene expression, copy number variation (CNV), SNP, mutation, and RNA-seq. The same cell lines have also been profiled for sensitivity to potential anti-cancer compounds, allowing development of computational models used to predict genotype-specific drug treatments linked to tumor molecular subtypes. Inferring such models is challenging because the model inputs contain far more features than observations, known as the p>>n problem, precluding the use of classical statistical models such as least squares (a.k.a. multiple linear regression). Recently, generalized linear models or penalized linear models have been proposed and extended for feature selection and overcoming the p>>n. Bayesian extension of such methods have also been developed, using algorithms such as Metropolis-Hasting and Markov Chain Monte Carlo, and demonstrated to improve prediction accuracy at the expense of increased computing cost. A comprehensive evaluation of predictive modeling techniques is essential to leverage cell line studies to infer the most accurate genetic predictors of drug sensitivity, which can then be used to inform patient selection strategies in clinical trials and to identify functional genetic determinants of drug sensitivity or resistance. In this study, we evaluate state-of-the-art predictive models which utilize dimension reduction methods (e.g., partial least square, support vector machine, principal component regression), feature selection (e.g., LASSO, RIDGE, and elastic-net), and Bayesian feature selection (e.g., Bayesian LASSO and Bayesian RIDGE). We assess each method based on 1) the accuracy of sensitivity predictions in a cross validation setting and in an independent dataset, and 2) the biological coherence of inferred predictive features by comparison to publicly available pathway databases. Citation Format: Adam Arne Margolin, In Sock Jang, Stephen Friend. Predicting drug sensitivity from cancer cell lines. [abstract]. In: Proceedings of the AACR Special Conference on Chemical Systems Biology: Assembling and Interrogating Computational Models of the Cancer Cell by Chemical Perturbations; 2012 Jun 27-30; Boston, MA. Philadelphia (PA): AACR; Cancer Res 2012;72(13 Suppl):Abstract nr IA15.",2012,Medicine,"list(name = ""Adam A. Margolin"", ids = ""2766817""); list(name = ""In Sock Jang"", ids = ""1906837""); list(name = ""Stephen H. Friend"", ids = ""144682786"")",,,Cancer Research,72,
3a9bf4679fb61d1f3fe891f71e0a63ab37057a4f,The Cost of Type II Diabetes Mellitus: A Machine Learning Perspective,"In this study, the burden of type II diabetes mellitus is investigated using machine learning methods. In particular, it is mainly aimed at obtaining an accurate quantification of the burden of diabetes by computing the number of indicators that provide the highest discrimination rate between normal people and patients. Assuming that the cardinality of the best-fitting feature set can be used to quantify the magnitude of the overall burden, several healthcare related features are extracted from demographic, diagnosis, medication and lab test records. Experimental results have shown that there are about 200 relevant indicators and the highest classification performance achieved in discriminating diabetic and normal people is remarkably superior to that of the baseline system. In other words, the burden of diabetes is not limited to a small group of complications, medications or lab tests. In the second phase of experiments, the relative effects of different indicators are evaluated by employing Lasso and Ridge regression algorithms. It is observed that the best set of indicators have different levels of effects in discriminating between diabetic and normal people.",2016,Computer Science,"list(name = ""Ghazaal Sheikhi"", ids = ""11000948""); list(name = ""Hakan AltÄ±nÃ§ay"", ids = ""1806869"")",b3ba3fc18695228a7996f3099f6d08b2bfa7068e; 617928ccf387e8f11578878cb56028e8817f5d0d,,,,824-827
962953a2e6ef4f0e1dc9166b572cd9e8b138f35a,Deconvolution of fMRI BOLD signal in time-domain using an exponential operator and Lasso optimization,"Many techniques have been explored so far in the study of neural activations using the blood oxygenated level dependent (BOLD) signal. Among them, deconvolution methods have been developed in order to explore spontaneous brain activity when the brain is in resting-state. These techniques are powerful since they do not require a priori knowledge about timing and duration of activations [2]. In this work, we propose a regularized deconvolution technique which uses an exponential operator, whose shape and performance can be adjusted by tuning a parameter Î±, and the Least-Angle Regression (LARS) algorithm, by using the least absolute shrinkage and selection operator (LASSO) model.",2017,Computer Science,"list(name = ""Isa Costantini"", ids = ""4649814""); list(name = ""Patryk Filipiak"", ids = ""1723993""); list(name = ""Kostiantyn Maksymenko"", ids = ""20770336""); list(name = ""Rachid Deriche"", ids = ""1702017""); list(name = ""Samuel Deslauriers-Gauthier"", ids = ""1450304212"")",,,,,
58e7d239444b527d8bd13ad103753f614e8fdb58,Nonasymptotic Analysis of Semiparametric Regression Models with High-Dimensional Parametric Coefficients,"We consider a two-step projection based Lasso procedure for estimating a partially linear regression model where the number of coefficients in the linear component can exceed the sample size and these coefficients belong to the l_{q}-â€œballsâ€ for q in [0, 1]. Our theoretical results are nonasymptotic and include the upper bounds on the l_{2}-errors of the proposed estimators and a result on variable selection. In particular, we establish a new non-asymptotic â€œoracleâ€ result: Although the prediction error of the nonparametric projection per se has the scaling t_{n} in the first step, it only contributes a scaling of t_{n}^{2} in the l_{2}-error of the second-step estimator for the linear coefficients. This new â€œoracleâ€ result holds for a unified framework of nonparametric least squares procedures and regularized nonparametric least squares procedures for the first-step estimation and the driver behind it lies in the projection strategy. We specialize our analysis to the estimation of a semiparametric sample selection model and provide a simple method with theoretical guarantees for choosing the regularization parameter in practice.",2017,Mathematics,"list(name = ""Ying Zhu"", ids = ""40483208"")",dad6dd379fcded39698b8e5a1e7acd5815def6de; 58e7d239444b527d8bd13ad103753f614e8fdb58; 097448303494b03fd27607a0ba157ad6081c70b4; 02cc252e7135728490c43ef02bea01ab4d23dc85; b1460f36c137668a319a6ebb6450cc1240a442c0,009f35c0e453f2435efd8d8ef8086b76b294967a; c3a854d4178a29906cc9f9ba2311f7a48a72f1cd; 8ee3dea9c1d354fe9ab7f6820a7c64de78c707dc; adb542bb749073d80af52f2038ad6980e3874337; 05008d0d170abd5c19311f50477a0d681422b0df; 0c738fdfa27450e6f35b963335db02f20f4bf687; a8a6bb111c8fbfc34e0a05492baf3b741494c621; 5f56320c5979faeab78dbd9ddb7db755ba4550f3; 43bc1838ffa85b68ea62ce54d39aea310b80bd06; 229f46e78c8ba96da2febc39a07e1c8e4daf4b7a; dc5b06753fac11268bc2300b7c25d50cbbcdeb5c; b8c9e975a812f8ac17ffee7468c22899d7378965; 3cefeea61d6713d04a971d6db06e574c18de4d69; fea3a5ecbdd0c6d7491df22a1aeb18a69ee9fc98; b907d0e3f7b6246d81eda7daf8959c0f830b41f4; eddb3766525ad09e831933782f9d210e15449065; 60017aac27a4abdd7c546b117bc02cb8ae1faef2; bb92178d5133f9165b704500cbe2e5a1b2dab01d; 46be236b6c3896aea3866672bb4606496694fc77; fa73e7a25abff79f46837569442f9bb396c0c110; 3ec6b1aeddce8c350a4f8ea3ba7ffcfd73b57ed2; fa9e0b65ef3b171e5e40c44c0bb4b29fac4af496; f3790efb6a488111aeaddff7004b38eacc64748c; b58dfc5061cbbdcdbdd7475e3abfddf7b4ce7a86; 9529c25408dc86194d417aed73d49ae0e418f1be; 956ab419b11edd364e95f652f490728a300dc35f; 100ec5a4b584d3ead8eec3e73b2055e062b6abb1; 657bd455382a141e623665cf7e30acbfd8175533; 3dcc3f512935bc3d7cb740b9941caa807bf5d6f4; 7b4b6a3b9d19a1f57033d8642ca7b9ac97e94263; 58e7d239444b527d8bd13ad103753f614e8fdb58; 5b2b2e02e8d808c63d3aa1b486282c235cedf8f2; c59c6afcfd5d03eb2c8fb5d1665afacc077771b9; 91db7d4aeadf9719feb3fca36f12875d4888b70a; 0449d6cb88b2cfc1544b8d5db643a6a0c2f27bbc; 3521883ea2c2c93b3af29232555be5c4fe4a2ba9; be955f315af99ec7aceb4eaf205e3327e6a78600; b365b8e45b7d81f081de44ac8f9eadf9144f3ca5; 37b2c8f95ffeb28ae29ccb041ae9c2c57f02be7a; 98fe4c4d8c80fae030c381f60a93e20be9b6f76d; 89e9c539db6ffd2cb477b314a0ac8ba593473125,Annals of Statistics,45,2274-2298
5659040b1bb5c87ed8e5aa8631c9fc94a0e453d2,Comparison of high-dimensional confounder summary scores in comparative studies of newly marketed medications.,"OBJECTIVE
To compare confounding adjustment by high-dimensional propensity scores (hdPSs) and historically developed high-dimensional disease risk scores (hdDRSs) in three comparative study examples of newly marketed medications: (1) dabigatran vs. warfarin on major hemorrhage; (2) on death; and (3) cyclooxygenase-2 inhibitors vs. nonselective nonsteroidal anti-inflammatory drugs on gastrointestinal bleeds.


STUDY DESIGN AND SETTING
In each example, we constructed a concurrent cohort of new and old drug initiators using US claims databases. In historical cohorts of old drug initiators, we developed hdDRS models including investigator-specified plus empirically identified variables and using principal component analysis and lasso regression for dimension reduction. We applied the models to the concurrent cohorts to obtain predicted outcome probabilities, which we used for confounding adjustment. We compared the resulting estimates to those from hdPS.


RESULTS
The crude odds ratio (OR) comparing dabigatran to warfarin was 0.52 (95% confidence interval: 0.37-0.72) for hemorrhage and 0.38 (0.26-0.55) for death. Decile stratification yielded an OR of 0.64 (0.46-0.90) for hemorrhage using hdDRS vs. 0.70 (0.49-1.02) for hdPS. ORs for death were 0.69 (0.45-1.06) and 0.73 (0.48-1.10), respectively. The relative performance of hdDRS in the cyclooxygenase-2 inhibitors example was similar.


CONCLUSION
hdDRS achieved similar or better confounding adjustment compared to conventional regression approach but worked slightly less well than hdPS.",2016,Medicine,"list(name = ""Hiraku Kumamaru"", ids = ""4289969""); list(name = ""Joshua J Gagne"", ids = ""3611691""); list(name = ""Robert J Glynn"", ids = ""5957135""); list(name = ""Soko Setoguchi"", ids = ""2759127""); list(name = ""Sebastian Schneeweiss"", ids = ""145876902"")",79f9b32b1cf9a133a263cffbe19b2ac574f6d6cf; b61898438856a2282f635f5efe269bce219713ce; d077572122e72d025f666bb02ac177b415a86882; 598c4c180346a738f923b9311b186bc4579fa57c; 07ca32872ea125ed49f562111416c8f1e81fb585; b5db8373ec15e06e2dea549e0de1e3fb8873b17e; 6ce72fcbe684ed330c52995a9614fa1434b3be87; 4c5e9c7073c70f9d39958d97a40e0470d4432222; 275a386a8e14e618de17c8780ab970a45a0b4505; 4ac1b16884a753ad06c45b5418a2d0257809918b; 7e17ac063229bc4b430b563f19d9b55c4062d484; d901577cf2b93f5964999ac014ce1111f2854577; 5b6ce0ea6efa4996d912cdb1c418f3e1791a9db4,,Journal of clinical epidemiology,76,"
          200-8
        "
ddd38a0dea7f48d0313ff9cab270875fe9691771,Stability selection using a genetic algorithm and logistic linear regression on healthcare records,"This paper presents a Genetic Algorithm (GA) application to measuring feature importance in machine learning (ML) from a large-scale database. Too many input features may cause over-fitting, therefore a feature selection is desirable. Some ML algorithms have feature selection embedded, e.g., lasso penalized linear regression or random forests. Others do not include such functionality and are sensitive to over-fitting, e.g., unregularized linear regression. The latter algorithms require that proper features are chosen before learning.
 Therefore, we propose a novel stability selection (SS) approach using GA-based feature selection. The proposed SS approach iteratively applies GA on a subsample of records and features. Each GA individual represents a binary vector of selected features in the subsample. An unregularized logistic linear regression model is then trained and tested using GA-selected features through cross-validation of the subsamples. GA fitness is evaluated by area under the curve (AUC) and optimized during a GA run.
 AUC is assessed with an unregularized logistic regression model on multiple-subsampled healthcare records, collected under the Healthcare Cost, and Utilization Project (HCUP), utilizing the National (Nationwide) Inpatient Sample (NIS) database.
 Reported results show that averaging feature importance from top-4 SS and the SS using GA (GASS), improves these AUC results.",2017,Computer Science,"list(name = ""Ales Zamuda"", ids = ""2343857""); list(name = ""Christine Zarges"", ids = ""1748373""); list(name = ""Gregor Å tiglic"", ids = ""2971162""); list(name = ""Goran Hrovat"", ids = ""2765769"")",2b98510542805bc3efc1968c799139191873286b; 3841cc5ac3656d54aab4e6467516fa0e4723307c; 4ec9d992a1cb64e880717ef0f19a614766503c57; 20389da6168ecd8c144c75c011a4d84b772a4459,13d4c2f76a7c1a4d0a71204e1d5d263a3f5a7986; 73a8a205a37f0169e89d3f0819a8ec36b39d3d2a; 95274ca3be569765960464d24f898c6fe025bac9; 34d405eaecab40a932108a7ff97e92fb8fd1ae4e; 2e62d1345b340d5fda3b092c460264b9543bc4b5; 49942672ebcc462ef877d958790881594f2eae07; d8384f7ef288d2d5cb267128471c5427fc98b54b; 2ff33eb0020550b93a6fc474ff2ff1b673ba00f7,Proceedings of the Genetic and Evolutionary Computation Conference Companion,,
b9e199a3e27f446eefba2449aa1989d85bfa51dc,Relational Lasso - An Improved Method Using the Relations Among Features -,"Relational lasso is a method that incorporates feature relations within machine learning. By using automatically obtained noisy relations among features, relational lasso learns an additional penalty parameter per feature, which is then incorporated in terms of a regularizer within the target optimization function. Relational lasso has been tested on three different tasks: text categorization, polarity estimation, and parsing, where it was compared with conventional lasso and adaptive lasso (Zou, 2006) when using a multi-class logistic regression optimization method. Relational lasso outperformed these other lasso methods in the tests.",2011,Computer Science,"list(name = ""Kotaro Kitagawa"", ids = ""1800946""); list(name = ""Kumiko Tanaka-Ishii"", ids = ""1402129831"")",,b26bb53333d151dce65f0cfc85832470246e75c3; 58db9852fedd50a4732e3c174383710422c32ecc; 004888621a4e4cee56b6633338a89aa036cf5ae5; d98ef875e2cbde3e2cc8fad521e3cbfe1bddbd69; e7e8768c1795d7a2642199700fa4fdbbde1a7bc2; 5850ccb059d789ec3f5dd84e31472fd5d6d4ae3f; aec9fa88ba72447df04ca1859dc5c1ac4a94a3da; daaeb4a428097fb1f40fd8b9f7210d5cce60922d; 6ed0e4a022dbc09ed1e0748a4ba8c192f5dd1d90; c9f5723859a665c3e54b8d9a1a7eecb8b5084af6; b365b8e45b7d81f081de44ac8f9eadf9144f3ca5; 708a622807473d4a3e039fc1f84235aafe8aeab9; c3ebcef26c22a373b6f26a67934213eb0582804e; 017ceb92df7fbddfd47538db0b5e1154482b72f6; e5ffaa4d7752d55cc5cf76eed1fec267b2db171c,,,1080-1088
